Size,Merge,MergeInsertion
500,36,6
600,45,8
700,53,9
800,59,9
900,67,10
1000,72,14
1100,84,16
1200,92,18
1300,99,17
1400,111,20
1500,123,20
1600,125,21
1700,133,22
1800,147,23
1900,161,24
2000,152,32
2100,161,37
2200,174,38
2300,187,39
2400,192,39
2500,230,47
2600,219,42
2700,230,60
2800,266,53
2900,261,49
3000,272,52
3100,311,50
3200,289,52
3300,279,52
3400,283,52
3500,281,52
3600,326,56
3700,345,60
3800,327,62
3900,301,63
4000,317,73
4100,324,81
4200,336,87
4300,349,83
4400,390,89
4500,411,101
4600,433,96
4700,480,93
4800,409,95
4900,417,95
5000,468,99
5100,438,94
5200,432,98
5300,444,102
5400,483,106
5500,512,112
5600,482,105
5700,523,117
5800,496,106
5900,502,110
6000,514,106
6100,543,114
6200,513,118
6300,532,114
6400,535,109
6500,545,114
6600,550,127
6700,551,122
6800,567,120
6900,553,114
7000,593,110
7100,647,118
7200,639,121
7300,634,130
7400,617,122
7500,626,133
7600,651,125
7700,637,131
7800,629,143
7900,646,156
8000,653,176
8100,667,182
8200,658,177
8300,678,191
8400,677,193
8500,706,197
8600,718,193
8700,734,190
8800,740,193
8900,779,200
9000,763,204
9100,771,197
9200,779,198
9300,784,191
9400,789,203
9500,811,198
9600,843,204
9700,834,205
9800,824,209
9900,863,230
10000,865,214
10100,867,235
10200,977,228
10300,881,213
10400,868,219
10500,903,220
10600,918,220
10700,930,216
10800,944,225
10900,943,229
11000,944,235
11100,999,230
11200,986,233
11300,982,235
11400,1013,249
11500,1007,235
11600,998,232
11700,1004,235
11800,1038,237
11900,1025,228
12000,1022,231
12100,1015,227
12200,1053,236
12300,1047,233
12400,1040,246
12500,1064,256
12600,1128,251
12700,1093,254
12800,1090,248
12900,1101,234
13000,1093,234
13100,1157,251
13200,1123,255
13300,1160,269
13400,1151,266
13500,1150,252
13600,1179,264
13700,1215,259
13800,1163,257
13900,1202,260
14000,1203,264
14100,1171,257
14200,1196,253
14300,1187,246
14400,1248,256
14500,1212,310
14600,1223,279
14700,1243,268
14800,1269,274
14900,1284,275
15000,1273,284
15100,1268,263
15200,1265,281
15300,1262,293
15400,1271,291
15500,1269,298
15600,1313,303
15700,1328,308
15800,1355,319
15900,1354,333
16000,1365,355
16100,1360,336
16200,1384,348
16300,1382,359
16400,1390,384
16500,1407,376
16600,1394,404
16700,1425,404
16800,1413,415
16900,1425,415
17000,1460,392
17100,1466,411
17200,1474,408
17300,1487,382
17400,1469,458
17500,1567,396
17600,1522,413
17700,1510,406
17800,1529,425
17900,1551,420
18000,1551,416
18100,1560,412
18200,1569,424
18300,1586,426
18400,1574,414
18500,1583,417
18600,1586,408
18700,1602,443
18800,1657,421
18900,1617,405
19000,1655,441
19100,1663,429
19200,1680,440
19300,1693,442
19400,1689,446
19500,1713,446
19600,1729,453
19700,1764,454
19800,1739,444
19900,1734,436
20000,1732,445
20100,1786,437
20200,1768,455
20300,1780,458
20400,1785,453
20500,1774,460
20600,1807,454
20700,1814,453
20800,1823,457
20900,1825,465
21000,1849,461
21100,1856,472
21200,1869,473
21300,1877,462
21400,1875,474
21500,1887,484
