Size,Merge,MergeInsertion
500,45,8
600,54,10
700,64,12
800,72,14
900,81,17
1000,89,19
1100,102,21
1200,111,23
1300,120,26
1400,132,28
1500,140,30
1600,149,33
1700,157,37
1800,166,39
1900,185,46
2000,183,43
2100,194,46
2200,206,48
2300,215,51
2400,227,53
2500,239,56
2600,246,60
2700,257,62
2800,269,64
2900,276,66
3000,285,69
3100,293,72
3200,302,75
3300,313,81
3400,321,84
3500,331,86
3600,341,91
3700,350,91
3800,359,95
3900,370,96
4000,382,99
4100,380,101
4200,395,103
4300,409,106
4400,420,109
4500,431,111
4600,438,125
4700,485,131
4800,664,158
4900,527,132
5000,478,122
5100,494,128
5200,505,131
5300,524,142
5400,540,144
5500,695,149
5600,632,150
5700,556,146
5800,597,150
5900,606,152
6000,592,153
6100,592,156
6200,624,160
6300,611,163
6400,619,166
6500,632,177
6600,647,180
6700,651,182
6800,647,185
6900,669,188
7000,679,190
7100,685,192
7200,713,201
7300,716,226
7400,746,207
7500,836,239
7600,880,223
7700,938,234
7800,784,219
7900,879,222
8000,805,224
8100,774,222
8200,784,225
8300,822,226
8400,810,230
8500,850,234
8600,842,243
8700,873,237
8800,945,266
8900,954,297
9000,1048,268
9100,1033,266
9200,923,260
9300,920,261
9400,964,259
9500,941,260
9600,953,268
9700,965,267
9800,988,268
9900,986,273
10000,993,273
10100,1032,276
10200,1012,280
10300,1026,286
10400,1041,305
10500,1044,289
10600,1059,299
10700,1069,296
10800,1081,297
10900,1113,301
11000,1101,303
11100,1174,327
11200,1186,331
11300,1126,325
11400,1153,316
11500,1151,319
11600,1186,324
11700,1174,325
11800,1175,329
11900,1205,331
12000,1197,334
12100,1208,340
12200,1204,342
12300,1212,371
12400,1225,349
12500,1238,351
12600,1269,355
12700,1289,380
12800,1271,362
12900,1283,373
13000,1303,387
13100,1360,385
13200,1331,389
13300,1400,434
13400,1537,423
13500,1316,402
13600,1381,406
13700,1417,411
13800,1378,405
13900,1419,409
14000,1390,423
14100,1397,417
14200,1452,423
14300,1458,419
14400,1427,467
14500,1454,437
14600,1468,436
14700,1454,431
14800,1465,434
14900,1501,444
15000,1550,445
15100,1554,450
15200,1552,449
15300,1516,498
15400,1521,459
15500,1530,504
15600,1538,459
15700,1540,483
15800,1554,461
15900,1562,486
16000,1567,479
16100,1583,472
16200,1597,474
16300,1590,485
16400,1610,487
16500,1608,491
16600,1607,495
16700,1645,496
16800,1650,491
16900,1660,494
17000,1767,549
17100,1724,526
17200,1746,511
17300,1761,512
17400,1780,518
17500,1770,518
17600,1766,519
17700,1804,522
17800,1790,572
17900,1823,1562
18000,1833,544
18100,1821,530
18200,1817,533
18300,1830,567
18400,1843,539
18500,1854,552
18600,1874,557
18700,1871,567
18800,1910,569
18900,1913,557
19000,1916,566
19100,1929,563
19200,1952,571
19300,1951,568
19400,1960,579
19500,1982,576
19600,2003,580
19700,1997,579
19800,2000,584
19900,2006,586
20000,2016,593
20100,2035,593
20200,2037,596
20300,2046,600
20400,2051,603
20500,2061,606
20600,2081,614
20700,2094,612
20800,2111,616
20900,2119,620
21000,2134,621
21100,2135,626
21200,2146,664
21300,2189,640
21400,2196,640
21500,2196,644
21600,2217,647
21700,2225,650
21800,2232,654
21900,2249,655
22000,2259,658
22100,2270,662
22200,2282,669
22300,2295,681
22400,2297,675
22500,2308,679
22600,2315,681
22700,2321,691
22800,2346,687
22900,2339,690
23000,2651,702
23100,2363,697
23200,2376,697
23300,2388,703
23400,2386,709
23500,2403,712
23600,2407,715
23700,2414,715
23800,2425,724
23900,2437,724
24000,2447,726
24100,2453,734
24200,2469,735
24300,2473,740
24400,2479,739
24500,2484,745
24600,2495,749
24700,2506,756
24800,2512,755
24900,2589,765
25000,2546,767
25100,2553,763
25200,2553,768
25300,2566,768
25400,2570,771
25500,2586,781
25600,2596,781
25700,2601,794
25800,2637,808
25900,2630,812
26000,2639,820
26100,2654,828
26200,2656,837
26300,2670,837
26400,2719,838
26500,2682,842
26600,2692,839
26700,2700,845
26800,2718,850
26900,2735,856
27000,2742,857
27100,2751,860
27200,2762,865
27300,2776,868
27400,2785,868
27500,2790,871
27600,2804,875
27700,2817,883
27800,2828,883
27900,2842,881
28000,2843,898
28100,2790,911
28200,2848,895
28300,2864,896
28400,3841,902
28500,2868,900
28600,2884,914
28700,2888,915
28800,2902,921
28900,2924,936
29000,2919,926
29100,2940,931
29200,2945,926
29300,2963,931
29400,2973,931
29500,2984,935
29600,2989,943
29700,3007,941
29800,3011,950
29900,3024,950
30000,3030,953
30100,3038,957
30200,3045,965
30300,3055,964
30400,3064,970
30500,3072,991
30600,3107,975
30700,3092,977
30800,3117,989
30900,3116,994
31000,3118,991
31100,3128,989
31200,3135,986
31300,3150,988
31400,3166,1001
31500,3167,1003
31600,3169,999
31700,3172,998
31800,3185,1003
31900,3191,1010
32000,3218,1014
32100,3207,1024
32200,3215,1020
32300,3244,1022
32400,3229,1029
32500,3227,1026
32600,3236,1032
32700,3243,1035
32800,3263,1045
32900,3293,1054
33000,3321,1061
33100,3332,1069
33200,3322,1057
33300,3336,1055
33400,3354,1071
33500,3369,1065
33600,3379,1067
33700,3393,1076
33800,3404,1077
33900,3425,1078
34000,3457,1113
34100,3461,1096
34200,3477,1107
34300,3489,1089
34400,3503,1094
34500,3528,1100
34600,3528,1100
34700,3543,1101
34800,3549,1103
34900,3570,1111
35000,3578,1116
35100,3594,1118
35200,3648,1118
35300,3639,1124
35400,3635,1125
35500,3656,1131
35600,3652,1132
35700,3671,1135
35800,3675,1133
35900,3690,1141
36000,3699,1142
36100,3706,1144
36200,3712,1150
36300,3733,1150
36400,3737,1151
36500,3746,1162
36600,3764,1165
36700,3759,1162
36800,3772,1165
36900,3776,1180
37000,3799,1182
37100,3814,1184
37200,3831,1187
37300,3832,1185
37400,3847,1191
37500,3853,1194
37600,3884,1202
37700,3890,1205
37800,3896,1206
37900,3922,1203
38000,3931,1216
38100,3938,1216
38200,3958,1220
38300,3974,1219
38400,3984,1222
38500,3991,1231
38600,4004,1235
38700,4018,1233
38800,4023,1236
38900,4046,1240
39000,4063,1243
39100,4074,1247
39200,4073,1250
39300,4090,1253
39400,4096,1256
39500,4110,1260
39600,4121,1263
39700,4125,1268
39800,4146,1269
39900,4147,1279
40000,4145,1273
40100,4165,1278
40200,4170,1281
40300,4183,1290
40400,4222,1288
40500,4197,1292
40600,4211,1300
40700,4222,1302
40800,4223,1317
40900,4228,1317
41000,4234,1305
41100,4265,1314
41200,4257,1315
41300,4274,1319
41400,4303,1328
41500,4302,1319
41600,4327,1323
41700,4331,1340
41800,4341,1330
41900,4362,1328
42000,4361,1339
42100,4379,1342
42200,4381,1347
42300,4398,1347
42400,4422,1353
42500,4425,1353
42600,4437,1358
42700,4438,1360
42800,4450,1365
42900,4471,1370
43000,4485,1371
43100,4483,1382
43200,4515,1378
43300,4539,1385
43400,4523,1389
43500,4552,1471
43600,4545,1392
43700,4574,1395
43800,4570,1402
43900,4620,1406
44000,4594,1408
44100,4608,1408
44200,4624,1411
44300,4629,1418
44400,4639,1424
44500,4655,1430
44600,4758,1456
44700,4717,1431
44800,4729,1435
44900,4695,1454
45000,4739,1469
45100,4740,1450
45200,4764,1461
45300,4738,1471
45400,4740,1498
45500,4795,1488
45600,4800,1470
45700,5175,2421
45800,5657,1535
45900,5659,1489
46000,6480,2766
46100,5671,2200
46200,5241,1557
46300,5425,1858
46400,5536,1741
46500,5565,1735
46600,5337,1614
46700,4903,1572
46800,4927,1515
46900,4927,1519
47000,4930,1514
47100,4912,1523
47200,4946,1524
47300,4948,1535
47400,5065,1637
47500,4925,1525
47600,5053,1573
47700,4968,1539
47800,5218,1542
47900,4964,1551
48000,4989,1544
48100,4977,1546
48200,4999,1554
48300,5017,1557
48400,5077,1563
48500,4998,1579
48600,5100,1563
48700,5432,1587
48800,5365,1945
48900,5342,1805
49000,5271,1661
49100,5318,1591
49200,5414,1783
49300,16050,1898
49400,5331,1688
49500,5337,1610
49600,5434,2738
49700,5274,1649
49800,5346,1633
49900,5435,1630
50000,5402,1656
