Size,Merge,MergeInsertion
500,36,6
600,45,7
700,54,10
800,65,12
900,67,12
1000,73,12
1100,83,13
1200,92,15
1300,98,17
1400,121,22
1500,123,25
1600,132,26
1700,134,25
1800,139,27
1900,149,29
2000,159,27
2100,164,28
2200,174,30
2300,189,36
2400,211,37
2500,247,43
2600,205,37
2700,217,44
2800,268,57
2900,245,54
3000,263,52
3100,267,53
3200,289,54
3300,282,54
3400,290,57
3500,289,57
3600,293,57
3700,302,57
3800,304,60
3900,321,62
4000,317,60
4100,315,57
4200,329,62
4300,342,60
4400,374,66
4500,393,69
4600,378,69
4700,385,72
4800,389,69
4900,599,78
5000,469,92
5100,409,71
5200,420,79
5300,433,93
5400,479,105
5500,502,104
5600,505,107
5700,535,108
5800,470,95
5900,498,98
6000,517,100
6100,485,99
6200,489,107
6300,502,104
6400,525,113
6500,522,111
6600,531,107
6700,538,110
6800,548,112
6900,566,111
7000,560,112
7100,592,136
7200,592,120
7300,701,132
7400,673,140
7500,701,125
7600,621,120
7700,631,128
7800,615,130
7900,624,123
8000,643,127
8100,642,129
8200,635,118
8300,667,127
8400,666,125
8500,678,124
8600,703,133
8700,723,126
8800,714,130
8900,727,134
9000,734,140
9100,718,134
9200,748,136
9300,772,143
9400,767,152
9500,784,145
9600,804,145
9700,806,142
9800,800,141
9900,819,151
10000,825,150
10100,842,162
10200,841,154
10300,945,180
10400,851,165
10500,871,174
10600,864,187
10700,905,196
10800,898,190
10900,893,198
11000,902,197
11100,919,196
11200,919,199
11300,905,194
11400,956,204
11500,941,204
11600,944,199
11700,978,203
11800,959,205
11900,964,205
12000,962,208
12100,991,207
12200,998,210
12300,993,210
12400,1006,234
12500,1094,216
12600,1009,220
12700,1059,220
12800,1031,217
12900,1048,214
13000,1095,225
13100,1060,219
13200,1073,223
13300,1079,221
13400,1086,234
13500,1139,230
13600,1141,228
13700,1125,234
13800,1149,229
13900,1123,226
14000,1149,238
14100,1151,231
14200,1204,240
14300,1209,249
14400,1163,247
14500,1173,236
14600,1267,265
14700,1216,248
14800,1233,248
14900,1250,257
15000,1235,270
15100,1209,259
15200,1246,253
15300,1228,270
15400,1255,265
15500,1302,261
15600,1305,277
15700,1315,264
15800,1296,246
15900,1322,253
16000,1351,279
16100,1543,283
16200,1388,255
16300,1299,270
16400,1336,270
16500,1303,261
16600,1328,276
16700,1313,268
16800,1349,273
16900,1347,284
17000,1351,282
17100,1386,285
17200,1391,294
17300,1421,295
17400,1457,278
17500,1435,284
17600,1446,283
17700,1457,288
17800,1494,274
17900,1507,287
18000,1473,293
18100,1449,287
18200,1492,300
18300,1516,301
18400,1502,297
18500,1541,314
18600,1539,317
18700,1585,321
18800,1563,310
18900,1583,310
19000,1577,326
19100,1599,320
19200,1599,322
19300,1628,317
19400,1615,310
19500,1635,325
19600,1638,319
19700,1664,326
19800,1659,318
19900,1664,313
20000,1687,339
20100,1669,322
20200,1683,326
20300,1681,321
20400,1685,317
20500,1697,323
20600,1684,338
20700,1692,352
20800,1704,358
20900,1712,367
21000,1736,368
21100,1727,379
21200,1742,387
21300,1776,385
21400,1777,406
21500,1786,395
21600,1802,402
21700,1810,409
21800,1828,412
21900,1832,420
22000,1830,418
22100,1855,419
22200,1840,420
22300,1864,418
22400,1876,434
22500,1881,420
22600,1951,460
22700,1905,422
22800,1902,429
22900,1895,431
23000,1905,432
23100,1929,436
23200,1904,433
23300,1906,444
23400,1979,432
23500,1952,441
23600,1950,441
23700,1940,434
23800,1963,435
23900,1954,440
24000,1969,441
24100,1985,441
24200,1970,436
24300,1979,438
24400,1992,451
24500,2029,463
24600,2003,456
24700,1997,487
24800,2009,453
24900,2060,453
25000,2035,458
25100,2072,468
25200,2053,458
25300,2085,469
25400,2081,461
25500,2098,462
25600,2116,462
25700,2130,485
25800,2178,489
25900,2156,471
26000,2131,470
26100,2140,483
26200,2159,477
26300,2165,468
26400,2173,483
26500,2213,483
26600,2177,482
26700,2220,491
26800,2195,500
26900,2225,511
27000,2226,489
27100,2230,498
27200,2207,491
27300,2263,485
27400,2283,486
27500,2272,478
27600,2274,482
27700,2293,506
27800,2292,497
27900,2312,482
28000,2321,497
28100,2320,497
28200,2325,492
28300,2327,510
28400,2343,492
28500,2357,508
28600,2356,505
28700,2374,513
28800,2376,513
28900,2426,520
29000,2412,508
29100,2432,508
29200,2420,512
29300,2419,523
29400,2442,519
29500,2448,519
29600,2449,536
29700,2464,526
29800,2471,534
29900,2507,530
30000,2486,546
30100,2510,566
30200,2491,559
30300,2496,558
30400,2547,546
30500,2519,542
30600,2547,567
30700,2537,592
30800,2541,583
30900,2540,571
31000,2535,545
31100,2550,564
31200,2563,551
31300,2565,610
31400,2558,576
31500,2548,569
31600,2533,554
31700,2556,580
31800,2549,572
31900,2565,566
32000,2550,557
32100,2581,552
32200,2585,543
32300,2597,538
32400,2604,559
32500,2605,568
32600,2607,556
32700,2618,538
32800,2615,549
32900,2625,582
33000,2649,566
33100,2641,578
33200,2672,571
33300,2655,586
33400,2685,576
33500,2710,600
33600,2741,583
33700,2732,552
33800,2753,580
33900,2786,578
34000,2791,568
34100,2812,570
34200,2807,598
34300,2821,603
34400,2846,580
34500,2868,576
34600,2871,585
34700,2865,603
34800,2890,571
34900,2905,606
35000,2895,593
35100,2918,593
35200,2939,583
35300,2922,606
35400,2941,618
35500,2972,620
35600,2968,601
35700,2968,606
35800,2977,599
35900,3007,617
36000,3033,613
36100,3006,601
36200,3020,627
36300,3035,632
36400,3020,626
36500,3065,619
36600,3045,627
36700,3065,603
36800,3077,617
36900,3071,605
37000,3107,643
37100,3098,635
37200,3113,623
37300,3126,640
37400,3119,620
37500,3157,636
37600,3171,636
37700,3176,642
37800,3198,654
37900,3188,692
38000,3196,673
38100,3238,674
38200,3233,672
38300,3217,656
38400,3235,679
38500,3275,650
38600,3281,656
38700,3327,642
38800,3348,661
38900,3290,667
39000,3315,658
39100,3326,667
39200,3311,657
39300,3341,672
39400,3338,678
39500,3353,677
39600,3355,676
39700,3358,661
39800,3400,663
39900,3372,675
40000,3393,690
40100,3410,671
40200,3380,701
40300,3399,682
40400,3411,671
40500,3386,658
40600,3381,669
40700,3367,690
40800,3387,670
40900,3393,671
41000,3385,686
41100,3431,687
41200,3431,720
41300,3378,720
41400,3405,719
41500,3430,736
41600,3421,745
41700,3453,751
41800,3459,753
41900,3450,759
42000,3489,792
42100,3503,768
42200,3491,784
42300,3522,762
42400,3545,812
42500,3541,833
42600,3573,857
42700,3538,833
42800,3574,849
42900,3580,880
43000,3574,824
43100,3592,837
43200,3612,833
43300,3633,853
43400,3628,839
43500,3665,858
43600,3665,863
43700,3684,828
43800,3684,886
43900,3692,873
44000,3734,848
44100,3706,857
44200,3696,845
44300,3734,868
44400,3724,868
44500,3755,871
44600,3785,864
44700,4054,1049
44800,4076,866
44900,3793,878
45000,3828,879
45100,3781,852
45200,3797,859
45300,3802,861
45400,3788,871
45500,3809,873
45600,3827,892
45700,3804,887
45800,3817,874
45900,3835,875
46000,3850,922
46100,3868,897
46200,3889,912
46300,3861,888
46400,3897,900
46500,3887,921
46600,3935,913
46700,3898,898
46800,3884,890
46900,3897,911
47000,3907,909
47100,3930,910
47200,3916,905
47300,3927,901
47400,3932,902
47500,3935,892
47600,3932,893
47700,4003,919
47800,3937,909
47900,4070,973
48000,3970,934
48100,3945,905
48200,3962,907
48300,4023,905
48400,3994,943
48500,4046,960
48600,3999,905
48700,3986,914
48800,4013,939
48900,4032,930
49000,4027,933
49100,4080,915
49200,4062,939
49300,4033,975
49400,4093,986
49500,4066,971
49600,4076,943
49700,4117,959
49800,4104,937
49900,4076,946
50000,4100,953
50100,4095,979
50200,4107,962
50300,4133,957
50400,4146,977
50500,4137,952
50600,4159,967
50700,4214,963
50800,4197,955
50900,4192,954
51000,4212,957
51100,4226,969
51200,4242,936
51300,4289,1019
51400,4269,1004
51500,4255,979
51600,4253,972
51700,4313,989
51800,4315,1005
51900,4326,1008
52000,4296,977
52100,4314,1009
52200,4346,956
52300,4349,960
52400,4344,984
52500,4350,957
52600,4367,975
52700,4359,984
52800,4374,980
52900,4357,971
53000,4570,1001
53100,4432,996
53200,4443,982
53300,4468,1014
53400,4436,1016
53500,4436,984
53600,4429,1027
53700,4421,1004
53800,4485,1023
53900,4483,1017
54000,4492,1047
54100,4508,1060
54200,4517,1031
54300,4495,1002
54400,4526,1022
54500,4523,1014
54600,4520,1072
54700,4543,1070
54800,4595,1015
54900,4583,1049
55000,4594,1008
55100,4585,1011
55200,4586,1013
55300,4596,1011
55400,4640,1050
55500,4615,1018
55600,4666,1093
55700,4672,1015
55800,4634,1012
55900,4683,1064
56000,4675,1051
56100,4705,1047
56200,4676,1052
56300,4685,1057
56400,4707,1060
56500,4729,1068
56600,4769,1068
56700,4717,1087
56800,4716,1067
56900,4738,1054
57000,4759,1091
57100,4720,1059
57200,4760,1089
57300,4749,1087
57400,4806,1070
57500,4778,1058
57600,4796,1069
57700,4795,1059
57800,4811,1066
57900,4813,1100
58000,4817,1044
58100,4833,1069
58200,4882,1099
58300,4874,1086
58400,4890,1089
58500,4876,1113
58600,4877,1074
58700,4918,1078
58800,4906,1068
58900,4959,1092
59000,4919,1117
59100,5103,1512
59200,5253,1157
59300,5188,1134
59400,4980,1115
59500,4978,1098
59600,5017,1080
59700,4979,1145
59800,4992,1108
59900,5026,1101
