Size,Merge,MergeInsertion
500,37,4
600,48,5
700,57,6
800,63,7
900,71,9
1000,76,9
1100,86,10
1200,96,11
1300,105,11
1400,114,13
1500,122,14
1600,129,15
1700,138,20
1800,145,22
1900,152,22
2000,162,20
2100,165,23
2200,183,25
2300,188,26
2400,199,26
2500,206,26
2600,214,28
2700,232,29
2800,235,29
2900,241,29
3000,244,30
3100,263,30
3200,259,31
3300,268,41
3400,277,41
3500,285,40
3600,292,45
3700,301,45
3800,319,48
3900,312,41
4000,316,44
4100,318,46
4200,333,45
4300,348,50
4400,361,50
4500,369,51
4600,391,55
4700,571,75
4800,429,50
4900,461,58
5000,420,55
5100,428,62
5200,436,61
5300,461,59
5400,548,94
5500,531,85
5600,486,69
5700,484,69
5800,490,67
5900,497,68
6000,505,67
6100,513,74
6200,514,74
6300,529,74
6400,550,73
6500,540,91
6600,541,89
6700,554,90
6800,569,96
6900,577,116
7000,583,93
7100,589,92
7200,589,94
7300,626,102
7400,700,109
7500,735,127
7600,673,110
7700,699,101
7800,660,98
7900,649,93
8000,664,119
8100,673,106
8200,657,105
8300,687,115
8400,691,107
8500,697,113
8600,710,101
8700,727,113
8800,801,124
8900,812,115
9000,814,118
9100,792,116
9200,783,120
9300,791,120
9400,797,123
9500,812,147
9600,825,129
9700,849,127
9800,844,129
9900,851,123
10000,864,125
10100,871,135
10200,893,135
10300,893,142
10400,897,138
10500,921,137
10600,914,137
10700,920,148
10800,940,150
10900,950,142
11000,1010,154
11100,1178,151
11200,978,150
11300,984,158
11400,1015,153
11500,986,159
11600,1016,154
11700,1030,150
11800,1015,153
11900,1018,158
12000,1036,161
12100,1058,169
12200,1045,169
12300,1053,166
12400,1057,171
12500,1078,170
12600,1083,177
12700,1084,169
12800,1120,168
12900,1147,214
13000,1181,213
13100,1131,196
13200,1132,194
13300,1262,215
13400,1201,209
13500,1149,224
13600,1197,208
13700,1179,200
13800,1190,214
13900,1197,207
14000,1236,211
14100,1191,225
14200,1204,212
14300,1207,217
14400,1212,213
14500,1219,211
14600,1232,229
14700,1287,214
14800,1301,216
14900,1273,215
15000,1255,228
15100,1274,224
15200,1262,224
15300,1288,229
15400,1281,242
15500,1318,221
15600,1289,215
15700,1264,217
15800,1302,211
15900,1304,215
16000,1356,217
16100,1347,219
16200,1369,215
16300,1383,223
16400,2787,231
16500,1393,240
16600,1420,246
16700,1428,229
16800,1440,236
16900,1459,252
17000,1489,251
17100,1500,256
17200,1448,250
17300,1471,247
17400,1467,238
17500,1494,249
17600,1503,248
17700,1513,248
17800,1517,245
17900,1528,255
18000,1538,266
18100,1550,269
18200,1574,254
18300,1577,251
18400,1587,269
18500,1573,269
18600,1598,270
18700,1633,277
18800,1626,276
18900,1624,268
19000,1657,270
19100,1667,264
19200,1666,272
19300,1682,287
19400,1695,267
19500,1723,287
19600,1714,286
19700,1723,286
19800,1715,291
19900,1730,282
20000,1737,295
20100,1753,291
20200,1761,303
20300,1767,312
20400,1782,311
20500,1793,297
20600,1779,291
20700,1794,288
20800,1815,303
20900,1819,300
21000,1838,297
21100,1835,312
21200,1858,319
21300,1874,327
21400,1895,315
21500,1893,320
