Size,Merge,MergeInsertion
500,135,50
600,160,49
700,192,88
800,211,107
900,237,114
1000,262,100
1100,244,107
1200,280,113
1300,245,101
1400,263,127
1500,279,125
1600,258,135
1700,275,141
1800,258,128
1900,275,131
2000,261,124
2100,280,127
2200,293,125
2300,291,126
2400,292,122
2500,298,125
2600,314,133
2700,309,142
2800,316,150
2900,322,158
3000,314,167
3100,323,174
3200,322,172
3300,321,170
3400,331,172
3500,332,172
3600,367,187
3700,369,179
3800,382,198
3900,432,194
4000,366,183
4100,396,184
4200,386,184
4300,400,188
4400,452,193
4500,420,193
4600,430,193
4700,440,197
4800,453,198
4900,462,201
5000,472,204
5100,486,208
5200,494,218
5300,502,231
5400,513,242
5500,534,256
5600,533,268
5700,542,280
5800,569,297
5900,560,298
6000,571,308
6100,575,335
6200,597,326
6300,595,328
6400,606,328
6500,639,378
6600,671,355
6700,715,376
6800,723,374
6900,699,346
7000,661,347
7100,667,346
7200,703,351
7300,689,356
7400,711,365
7500,721,363
7600,720,364
7700,773,459
7800,911,411
7900,883,441
8000,857,412
8100,846,558
8200,808,383
8300,872,463
8400,916,391
8500,848,393
8600,953,413
8700,992,455
8800,896,403
8900,1097,480
9000,1155,496
9100,1675,793
9200,1124,505
9300,1068,440
9400,1009,467
9500,1098,515
9600,998,494
9700,1055,713
9800,1087,479
9900,1076,442
10000,974,438
10100,1002,451
10200,1044,440
10300,998,448
10400,1035,487
10500,1055,473
10600,1027,486
10700,1099,522
10800,1059,508
10900,1088,521
11000,1130,565
11100,1083,549
11200,1119,579
11300,1101,573
11400,1149,633
11500,1117,594
11600,1150,602
11700,1154,613
11800,1147,626
11900,1165,631
12000,1242,643
12100,1180,707
12200,1187,661
12300,1213,674
12400,1210,687
12500,1243,711
12600,1212,686
12700,1256,703
12800,1244,693
12900,1461,717
13000,1302,694
13100,1308,698
13200,1333,703
13300,1347,718
13400,1291,762
13500,1315,786
13600,1367,808
13700,1412,894
13800,1331,814
13900,1382,785
14000,1397,781
14100,1357,783
14200,1364,791
14300,1425,787
14400,1434,789
14500,1497,774
14600,1489,749
14700,1462,741
14800,1509,746
14900,1499,746
15000,1519,753
15100,1503,758
15200,1505,777
15300,1474,774
15400,1480,759
15500,1524,784
15600,1501,794
15700,1579,791
15800,1522,779
15900,1524,778
16000,1535,836
16100,1560,834
16200,1623,796
16300,1605,789
16400,1607,791
16500,1568,791
16600,1583,800
16700,1599,804
16800,1694,829
16900,1642,839
17000,1687,823
17100,1716,843
17200,1680,835
17300,1674,827
17400,1685,833
17500,1752,860
17600,1763,843
17700,1728,843
17800,1734,846
17900,1792,867
18000,1823,877
18100,1794,852
18200,1781,874
18300,1829,877
18400,1843,891
18500,1853,885
18600,1873,885
18700,1879,891
