Size,Merge,MergeInsertion
500,37,5
600,48,5
700,54,9
800,61,10
900,68,11
1000,74,12
1100,85,13
1200,94,14
1300,102,17
1400,115,24
1500,131,26
1600,130,25
1700,141,26
1800,154,29
1900,151,28
2000,163,27
2100,167,29
2200,177,28
2300,205,32
2400,229,35
2500,249,33
2600,215,38
2700,232,45
2800,282,56
2900,266,54
3000,282,52
3100,283,68
3200,283,55
3300,288,54
3400,764,71
3500,294,51
3600,299,59
3700,311,56
3800,309,55
3900,311,58
4000,314,61
4100,326,60
4200,335,62
4300,351,64
4400,402,70
4500,423,124
4600,399,68
4700,389,64
4800,403,75
4900,508,142
5000,438,72
5100,428,72
5200,440,87
5300,493,102
5400,501,106
5500,521,122
5600,553,125
5700,578,114
5800,493,109
5900,510,117
6000,508,106
6100,545,123
6200,522,123
6300,538,122
6400,558,114
6500,577,120
6600,564,119
6700,567,119
6800,583,120
6900,577,126
7000,629,119
7100,641,124
7200,626,143
7300,707,137
7400,669,157
7500,667,144
7600,650,136
7700,640,138
7800,641,133
7900,654,136
8000,664,137
8100,663,134
8200,677,128
8300,682,134
8400,697,146
8500,684,134
8600,722,148
8700,743,152
8800,744,140
8900,754,146
9000,776,146
9100,766,147
9200,799,149
9300,796,149
9400,810,144
9500,819,148
9600,829,157
9700,837,155
9800,848,160
9900,928,223
10000,865,160
10100,861,169
10200,988,182
10300,994,200
10400,886,199
10500,935,197
10600,914,219
10700,929,228
10800,966,223
10900,957,220
11000,956,217
11100,1005,234
11200,976,233
11300,980,227
11400,966,234
11500,996,228
11600,1007,235
11700,1013,233
11800,1035,244
11900,1019,234
12000,1035,243
12100,1011,231
12200,1067,242
12300,1048,242
12400,1070,261
12500,1048,246
12600,1145,260
12700,1092,279
12800,1103,252
12900,1107,260
13000,1116,251
13100,1160,246
13200,1137,305
13300,1155,249
13400,1143,265
13500,1162,266
13600,1166,258
13700,1233,254
13800,1184,324
13900,1217,267
14000,1196,265
14100,1207,288
14200,1193,256
14300,1206,269
14400,1255,261
14500,1273,269
14600,1357,293
14700,1299,286
14800,1249,295
14900,1266,286
15000,1289,288
15100,1312,289
15200,1291,290
15300,1313,291
15400,1279,285
15500,1290,277
15600,1302,280
15700,1273,274
15800,1304,291
15900,1300,283
16000,1374,283
16100,1447,322
16200,1387,305
16300,1445,289
16400,1383,290
16500,1382,291
16600,1396,316
16700,1410,305
16800,1427,298
16900,1435,310
17000,1480,308
17100,1492,323
17200,1485,327
17300,1506,329
17400,1497,355
17500,1572,321
17600,1586,308
17700,1494,305
17800,1549,317
17900,1532,295
18000,1587,317
18100,1565,325
18200,1577,317
18300,1577,313
18400,1593,331
18500,1624,314
18600,1594,320
18700,1621,362
18800,1643,335
18900,1694,340
19000,1671,338
19100,1684,351
19200,1700,337
19300,1686,329
19400,1698,337
19500,1751,339
19600,1719,356
19700,1755,339
19800,1744,352
19900,1749,344
20000,1757,344
20100,1790,327
20200,1830,344
20300,1790,342
20400,1767,346
20500,1805,381
20600,1806,383
20700,1832,404
20800,1827,408
20900,1851,418
21000,1849,426
21100,1882,441
21200,1874,447
21300,1872,444
21400,1905,458
21500,1889,464
21600,1929,479
21700,1951,496
21800,1951,486
21900,1947,503
22000,1973,477
22100,1966,476
22200,1967,497
22300,1980,490
22400,1987,508
22500,1997,510
22600,1982,504
22700,2007,496
22800,2017,489
22900,2017,495
23000,2025,498
23100,2044,507
23200,2059,511
23300,2072,495
23400,2057,502
23500,2085,511
23600,2067,516
23700,2082,512
23800,2101,488
23900,2099,493
24000,2099,508
24100,2123,501
24200,2105,522
24300,2120,542
24400,2142,528
24500,2135,529
24600,2132,523
24700,2144,529
24800,2134,527
24900,2165,528
25000,2163,539
25100,2184,550
25200,2210,568
25300,2212,565
25400,2205,544
25500,2207,531
25600,2236,537
25700,2248,532
25800,2313,557
25900,2260,536
26000,2275,552
26100,2262,550
26200,2263,545
26300,2305,530
26400,2266,549
26500,2300,567
26600,2323,533
26700,2314,564
26800,2311,555
26900,2319,564
27000,2333,560
27100,2352,551
27200,2375,569
27300,2394,573
27400,2399,574
27500,2414,585
27600,2429,565
27700,2422,575
27800,2420,569
27900,2436,568
28000,2441,571
28100,2455,579
28200,2449,581
28300,2452,575
28400,2438,563
28500,2448,579
28600,2468,570
28700,2485,583
28800,2493,580
28900,2508,595
