Size,Merge,MergeInsertion
500,44,10
600,54,11
700,63,16
800,80,20
900,79,20
1000,87,21
1100,98,23
1200,108,24
1300,117,30
1400,130,37
1500,139,39
1600,154,42
1700,158,43
1800,167,45
1900,180,48
2000,195,49
2100,194,52
2200,209,55
2300,218,55
2400,252,65
2500,291,71
2600,253,69
2700,258,80
2800,324,118
2900,336,92
3000,306,113
3100,332,98
3200,367,109
3300,335,100
3400,345,104
3500,392,105
3600,350,103
3700,361,107
3800,360,107
3900,370,109
4000,377,111
4100,384,113
4200,398,116
4300,414,117
4400,430,127
4500,462,131
4600,467,128
4700,501,131
4800,463,131
4900,492,195
5000,531,162
5100,491,139
5200,504,182
5300,517,166
5400,568,185
5500,816,192
5600,594,196
5700,620,186
5800,594,186
5900,636,205
6000,582,194
6100,594,193
6200,600,197
6300,650,204
6400,619,202
6500,632,203
6600,643,211
6700,657,209
6800,663,245
6900,668,213
7000,678,216
7100,766,247
7200,752,224
7300,755,301
7400,762,254
7500,800,249
7600,898,248
7700,781,238
7800,818,256
7900,810,241
8000,808,244
8100,780,279
8200,792,253
8300,801,278
8400,816,260
8500,828,287
8600,836,285
8700,851,293
8800,879,261
8900,909,267
9000,890,272
9100,928,270
9200,900,279
9300,894,279
9400,921,279
9500,913,284
9600,953,283
9700,965,287
9800,1056,287
9900,987,293
10000,992,298
10100,1025,308
10200,1026,304
10300,1137,353
10400,1069,357
10500,1062,347
10600,1041,356
10700,1071,367
10800,1079,373
10900,1117,366
11000,1107,413
11100,1115,383
11200,1126,395
11300,1160,389
11400,1137,391
11500,1149,393
11600,1183,397
11700,1170,399
11800,1176,405
11900,1186,405
12000,1212,406
12100,1195,410
12200,1227,423
12300,1214,416
12400,1255,422
12500,1239,428
12600,1248,433
12700,1273,429
12800,1301,429
12900,1330,439
13000,1307,435
13100,1292,440
13200,1306,442
13300,1328,445
13400,1365,449
13500,1332,455
13600,1377,452
13700,1339,457
13800,1353,464
13900,1356,447
14000,1440,451
14100,1407,504
14200,1436,469
14300,1427,472
14400,1437,496
14500,1433,479
14600,1425,505
14700,1446,485
14800,1473,497
14900,1521,491
15000,1537,497
15100,1561,498
15200,1564,506
15300,1528,542
15400,1531,561
15500,1540,509
15600,1539,508
15700,1573,517
15800,1569,500
15900,1595,518
16000,1569,533
16100,1667,587
16200,1708,664
16300,1616,573
16400,1654,578
16500,1627,575
16600,1636,581
16700,1668,575
16800,1699,565
16900,1729,548
17000,1726,552
17100,1749,543
17200,1774,550
17300,1764,567
17400,1797,562
17500,1773,571
17600,1769,567
17700,1781,819
17800,1792,577
17900,1801,574
18000,1798,588
18100,1825,577
18200,1834,583
18300,1849,586
18400,1825,572
18500,1843,608
18600,1869,598
18700,1889,598
18800,1899,604
18900,1913,607
19000,1948,598
19100,1949,613
19200,1946,614
19300,1977,618
19400,1958,630
19500,1992,631
19600,2007,627
19700,2004,629
19800,2021,637
19900,2024,640
20000,2049,648
20100,2057,643
20200,2056,647
20300,2065,650
20400,2073,653
20500,2083,667
20600,2094,682
20700,2105,700
20800,2132,708
20900,2132,723
21000,2171,747
21100,2153,778
21200,2169,762
21300,2176,772
21400,2187,784
21500,2188,785
21600,2297,813
21700,2234,805
21800,2231,837
21900,2254,814
22000,2261,810
22100,2267,822
22200,2285,816
22300,2287,823
22400,2308,824
22500,2307,825
22600,2311,829
22700,2331,836
22800,2332,839
22900,2345,840
23000,2348,839
23100,2360,852
23200,2376,847
23300,2424,859
23400,2399,853
23500,2413,867
23600,2402,860
23700,2438,870
23800,2420,867
23900,2440,869
24000,2443,871
24100,2454,878
24200,2460,880
24300,2470,881
24400,2476,894
24500,2495,884
24600,2490,896
24700,2516,899
24800,2519,907
24900,2529,907
25000,2529,906
25100,2535,915
25200,2556,933
25300,2563,919
25400,2587,917
25500,2582,929
25600,2591,918
25700,2611,921
25800,2805,969
25900,2669,937
26000,2634,938
26100,2665,937
26200,2647,947
26300,2661,945
26400,2668,949
26500,2674,957
26600,2694,955
26700,2788,964
26800,2708,961
26900,2720,962
27000,2734,967
27100,2773,966
27200,2777,971
27300,2772,977
27400,2785,982
27500,2803,980
27600,2806,990
27700,2816,990
27800,2832,988
27900,2837,989
28000,2845,992
28100,2852,1006
28200,2865,1004
28300,2864,1003
28400,2873,1008
28500,2882,1011
28600,2888,1008
28700,2899,1014
28800,2943,1028
28900,2925,1023
29000,2938,1027
29100,2970,1054
29200,2970,1036
29300,2978,1035
29400,3076,1049
29500,3010,1048
29600,3003,1050
29700,3022,1050
29800,3029,1052
29900,3036,1058
30000,3048,1064
30100,3056,1067
30200,3062,1064
30300,3099,1076
30400,3082,1075
30500,3102,1089
30600,3101,1084
30700,3107,1080
30800,3130,1089
30900,3137,1092
31000,3142,1092
31100,3139,1102
31200,3156,1094
31300,3167,1094
31400,3158,1100
31500,3163,1102
31600,3178,1108
31700,3177,1110
31800,3181,1110
31900,3198,1116
32000,3227,1115
32100,3249,1088
32200,3235,1119
32300,3255,1120
32400,3247,1120
32500,3259,1127
32600,3267,1130
32700,3274,1130
32800,3280,1145
32900,3296,1149
33000,3312,1155
33100,3325,1162
33200,3339,1164
33300,3355,1161
33400,3379,1172
33500,3382,1146
33600,3403,1174
33700,3406,1166
33800,3429,1171
33900,3454,1170
34000,3453,1173
34100,3475,1180
34200,3494,1181
34300,3505,1183
34400,3524,1184
34500,3533,1187
34600,3537,1190
34700,3568,1194
34800,3563,1204
34900,3584,1238
35000,3616,1209
35100,3612,1222
35200,3614,1209
35300,3623,1211
35400,3640,1217
35500,3667,1237
35600,3658,1236
35700,3672,1228
35800,3675,1228
35900,3689,1235
36000,3699,1257
36100,3696,1238
36200,3711,1242
36300,3754,1252
36400,3734,1255
36500,3731,1251
36600,3749,1258
36700,3750,1278
36800,3769,1268
36900,3769,1275
37000,3785,1272
37100,3805,1275
37200,3810,1281
37300,3824,1282
37400,3838,1281
37500,3854,1291
37600,3886,1293
37700,3865,1296
37800,3906,1296
37900,3911,1300
38000,3930,1299
38100,3946,1313
38200,3954,1308
38300,3975,1315
38400,3981,1310
38500,3989,1315
38600,4008,1331
38700,4008,1318
38800,4039,1328
38900,4036,1352
39000,4073,1333
39100,4076,1372
39200,4081,1338
39300,4095,1348
39400,4102,1340
39500,4101,1349
39600,4126,1354
39700,4123,1354
39800,4150,1361
39900,4133,1358
40000,4145,1363
40100,4180,1384
40200,4156,1369
40300,4165,1374
40400,4181,1370
40500,4178,1380
40600,4187,1381
40700,4193,1383
40800,4197,1385
40900,4205,1390
41000,4215,1399
41100,4227,1422
41200,4254,1442
41300,4309,1421
41400,4281,1472
41500,4312,1493
41600,4327,1496
41700,4338,1527
41800,4349,1526
41900,4351,1542
42000,4358,1554
42100,4378,1571
42200,4385,1578
42300,4397,1592
42400,4417,1607
42500,4426,1620
42600,4440,1651
42700,4455,1650
42800,4460,1654
42900,4473,1665
43000,4483,1678
43100,4505,1684
43200,4506,1680
43300,4518,1682
43400,4526,1689
43500,4573,1710
43600,4547,1696
43700,4573,1705
43800,4592,1699
43900,4596,1701
44000,4595,1704
44100,4604,1710
44200,4619,1713
44300,4633,1733
44400,4635,1721
44500,4633,1734
44600,4672,1726
