Size,Merge,MergeInsertion
500,43,12
600,53,14
700,62,16
800,70,18
900,79,20
1000,87,26
1100,100,30
1200,107,32
1300,119,34
1400,127,35
1500,139,42
1600,156,42
1700,158,43
1800,167,46
1900,197,53
2000,196,58
2100,194,69
2200,210,67
2300,215,69
2400,227,78
2500,249,80
2600,288,86
2700,296,85
2800,295,144
2900,312,91
3000,325,95
3100,330,103
3200,343,99
3300,336,105
3400,354,104
3500,327,97
3600,346,104
3700,376,112
3800,390,117
3900,380,141
4000,375,130
4100,386,138
4200,396,145
4300,410,146
4400,423,146
4500,460,162
4600,494,169
4700,495,165
4800,477,165
4900,476,158
5000,533,177
5100,523,169
5200,510,168
5300,517,206
5400,539,184
5500,574,188
5600,653,185
5700,566,182
5800,578,184
5900,616,189
6000,599,199
6100,592,195
6200,611,193
6300,621,206
6400,625,199
6500,634,203
6600,641,206
6700,665,208
6800,658,212
6900,670,215
7000,688,216
7100,689,219
7200,753,229
7300,843,287
7400,783,244
7500,729,232
7600,761,249
7700,779,242
7800,762,275
7900,768,267
8000,770,288
8100,776,291
8200,792,300
8300,802,311
8400,811,336
8500,824,313
8600,858,314
8700,855,313
8800,883,317
8900,879,317
9000,863,317
9100,892,325
9200,905,327
9300,914,338
9400,925,335
9500,963,336
9600,957,342
9700,961,383
9800,972,360
9900,959,338
10000,978,340
10100,1002,354
10200,1123,387
10300,1142,351
10400,1035,361
10500,1050,368
10600,1074,371
10700,1072,372
10800,1097,403
10900,1138,388
11000,1096,381
11100,1144,385
11200,1117,377
11300,1134,411
11400,1147,391
11500,1160,394
11600,1183,400
11700,1165,401
11800,1175,405
11900,1151,393
12000,1222,406
12100,1203,411
12200,1208,413
12300,1215,421
12400,1258,470
12500,1244,426
12600,1246,439
12700,1253,447
12800,1316,417
12900,1280,486
13000,1323,437
13100,1293,445
13200,1280,451
13300,1352,432
13400,1365,461
13500,1371,449
13600,1360,463
13700,1355,457
13800,1335,454
13900,1428,449
14000,1426,453
14100,1406,510
14200,1423,470
14300,1416,479
14400,1425,480
14500,1429,487
14600,1425,500
14700,1500,485
14800,1526,477
14900,1538,490
15000,1495,549
15100,1511,554
15200,1544,503
15300,1544,505
15400,1553,515
15500,1567,528
15600,1562,555
15700,1545,556
15800,1521,568
15900,1582,590
16000,1572,597
16100,1572,603
16200,1555,615
16300,1578,634
16400,1577,653
16500,1621,681
16600,1630,654
16700,1649,655
16800,1681,662
16900,1709,666
17000,1727,678
17100,1706,720
17200,1762,652
17300,1773,646
17400,1791,664
17500,1763,685
17600,1750,680
17700,1783,683
17800,1782,676
17900,1802,694
18000,1821,699
18100,1821,693
18200,1834,695
18300,1794,685
18400,1846,704
18500,1855,704
18600,1874,705
18700,1893,714
18800,1878,694
18900,1922,715
19000,1939,718
19100,1954,727
19200,1966,727
19300,1963,727
19400,1979,733
19500,1989,742
19600,2004,738
19700,2009,738
19800,2013,743
19900,2041,746
20000,2038,753
20100,2053,754
20200,2058,752
20300,2073,764
20400,2073,760
20500,2091,762
20600,2094,770
20700,2118,770
20800,2124,779
20900,2128,776
21000,2141,776
21100,2170,799
21200,2186,795
21300,2183,794
21400,2178,789
21500,2206,802
21600,2214,802
21700,2204,794
21800,2227,799
21900,2230,800
22000,2248,804
22100,2268,808
22200,2267,813
22300,2278,814
22400,2283,816
22500,2443,820
22600,2321,843
22700,2315,830
22800,2335,857
22900,2345,835
23000,2337,832
23100,2347,836
23200,2359,841
23300,2402,911
23400,2401,854
23500,2408,862
23600,2416,864
23700,2436,866
23800,2432,869
23900,2447,882
24000,2459,877
24100,2477,882
24200,2469,891
24300,2477,886
24400,2478,897
24500,2495,888
24600,2493,896
24700,2530,904
24800,2528,905
24900,2541,916
25000,2540,913
25100,2542,914
25200,2560,919
25300,2595,920
25400,2575,969
25500,2580,924
25600,2586,919
25700,2596,931
25800,2613,933
25900,2621,943
26000,2626,946
26100,2650,938
26200,2652,946
26300,2663,945
26400,2673,970
26500,2685,952
26600,2692,953
26700,2694,961
26800,2714,962
26900,2718,963
27000,2735,969
27100,2747,994
27200,2768,975
27300,2784,987
27400,2788,989
27500,2797,980
27600,2809,989
27700,2826,987
27800,2831,991
27900,2850,995
28000,2857,994
28100,2854,998
28200,2863,1001
28300,2869,1012
28400,2880,1012
28500,2890,1019
28600,2887,1011
28700,2914,1020
28800,2913,1020
28900,2940,1027
29000,2940,1036
29100,2947,1029
29200,2971,1044
29300,2981,1044
29400,3021,1048
29500,3112,1074
29600,3060,1045
29700,3650,1470
29800,3107,1172
29900,3091,1117
30000,3075,1116
30100,3065,1064
30200,3192,1062
30300,3084,1078
30400,3065,1082
30500,3120,1080
30600,3125,1080
30700,3163,1084
30800,3257,1117
30900,3267,1097
31000,3276,1109
31100,3325,1148
31200,3270,1132
31300,3242,1138
31400,3268,1183
