Size,Merge,MergeInsertion
500,36,6
600,45,6
700,53,8
800,59,9
900,68,11
1000,73,12
1100,83,13
1200,92,15
1300,99,16
1400,111,17
1500,121,20
1600,132,22
1700,136,22
1800,141,23
1900,149,25
2000,151,28
2100,161,29
2200,174,29
2300,184,30
2400,205,32
2500,229,38
2600,232,42
2700,249,45
2800,233,39
2900,251,40
3000,276,47
3100,272,50
3200,281,47
3300,284,49
3400,291,51
3500,287,48
3600,292,52
3700,310,52
3800,301,54
3900,309,57
4000,311,58
4100,316,57
4200,329,60
4300,342,61
4400,352,60
4500,406,72
4600,418,69
4700,407,73
4800,430,72
4900,426,75
5000,409,70
5100,411,71
5200,432,156
5300,498,81
5400,439,82
5500,442,78
5600,459,79
5700,467,85
5800,470,91
5900,484,97
6000,550,97
6100,530,99
6200,497,87
6300,510,89
6400,516,91
6500,532,98
6600,537,102
6700,566,102
6800,553,103
6900,557,101
7000,564,102
7100,565,99
7200,635,111
7300,646,143
7400,676,171
7500,637,109
7600,682,127
7700,616,124
7800,624,121
7900,627,122
8000,643,126
8100,638,123
8200,644,120
8300,652,129
8400,668,125
8500,682,126
8600,676,130
8700,702,132
8800,709,128
8900,725,130
9000,733,142
9100,738,139
9200,747,135
9300,761,139
9400,759,146
9500,819,153
9600,792,145
9700,788,140
9800,813,152
9900,833,153
10000,843,167
10100,825,149
10200,831,152
10300,826,166
10400,860,154
10500,855,157
10600,857,160
10700,880,160
10800,909,173
10900,894,163
11000,898,168
11100,932,167
11200,927,163
11300,921,168
11400,924,174
11500,940,175
11600,941,186
11700,951,180
11800,961,212
11900,965,186
12000,950,184
12100,986,181
12200,981,190
12300,977,192
12400,970,187
12500,1027,206
12600,1013,200
12700,1019,194
12800,1018,199
12900,1117,205
13000,1077,204
13100,1062,202
13200,1077,204
13300,1078,218
13400,1132,215
13500,1103,207
13600,1149,213
13700,1103,215
13800,1109,209
13900,1168,208
14000,1189,217
14100,1160,213
14200,1155,215
14300,1157,222
14400,1157,225
14500,1168,219
14600,1226,217
