Size,Merge,MergeInsertion
41700,3718,1056
41800,3689,1030
41900,3725,1082
42000,3734,1056
42100,3779,1076
42200,3755,1097
42300,3758,1098
42400,3781,1135
42500,3763,1149
42600,3795,1171
42700,3815,1184
42800,3820,1208
42900,3850,1234
43000,3855,1244
43100,3835,1266
43200,3876,1213
43300,3885,1270
43400,3869,1255
43500,3893,1262
43600,3900,1309
43700,3898,1298
43800,3942,1294
43900,3929,1272
44000,3914,1300
44100,3904,1305
44200,3965,1378
44300,3945,1361
44400,3996,1348
44500,3979,1365
44600,3986,1383
44700,4001,1352
44800,3999,1399
44900,4014,1388
45000,4054,1398
45100,4057,1412
45200,4067,1440
45300,4065,1409
45400,4068,1435
45500,4082,1439
45600,4068,1412
45700,4104,1430
45800,4096,1437
45900,4125,1442
46000,4121,1397
46100,4143,1454
46200,4099,1471
46300,4139,1480
46400,4150,1413
46500,4204,1433
46600,4153,1434
46700,4148,1443
46800,4169,1446
46900,4205,1454
47000,4153,1451
47100,4180,1421
47200,4193,1428
47300,4198,1433
47400,4225,1430
47500,4204,1457
47600,4182,1422
47700,4225,1426
47800,4204,1486
47900,4249,1445
48000,4243,1463
48100,4236,1442
48200,4246,1478
48300,4271,1440
48400,4280,1481
48500,4270,1477
48600,4288,1457
48700,4284,1437
48800,4277,1480
48900,4317,1483
49000,4283,1455
49100,4309,1481
49200,4339,1493
49300,4307,1488
49400,4365,1495
49500,4380,1494
49600,4375,1533
49700,4361,1531
49800,4411,1509
49900,4432,1539
50000,4457,1503
50100,4426,1488
50200,4452,1522
50300,4485,1523
50400,4430,1497
50500,4469,1515
50600,4464,1511
50700,4466,1524
50800,4491,1550
50900,4485,1491
51000,4477,1515
51100,4473,1527
51200,4475,1486
51300,4503,1501
51400,4527,1521
51500,4551,1548
51600,4538,1455
51700,4575,1574
51800,4576,1526
51900,4612,1543
52000,4616,1578
52100,4619,1573
52200,4655,1558
52300,4641,1559
52400,4716,1560
52500,4656,1576
52600,4645,1565
52700,4680,1587
52800,4687,1539
52900,4671,1582
53000,4632,1571
53100,4678,1556
53200,4672,1553
53300,4704,1598
53400,4720,1549
53500,4709,1590
53600,4732,1618
53700,4697,1598
53800,4737,1557
53900,4735,1603
54000,4760,1633
54100,4745,1610
54200,4783,1633
54300,4817,1561
54400,4821,1584
54500,4800,1605
54600,4810,1642
54700,4847,1611
54800,4830,1635
54900,4842,1634
55000,4902,1621
55100,4865,1633
55200,4858,1638
55300,4878,1635
55400,4889,1664
55500,4902,1563
55600,4901,1617
55700,4928,1606
55800,4917,1627
55900,4937,1619
56000,4941,1624
56100,4948,1615
56200,4948,1629
56300,4924,1607
56400,4971,1641
56500,4994,1694
56600,4971,1635
56700,4976,1629
56800,5013,1614
56900,4988,1614
57000,5021,1627
57100,5008,1660
57200,5029,1623
57300,5007,1660
57400,4989,1677
57500,5041,1664
57600,5040,1679
57700,5029,1662
57800,5050,1690
57900,5042,1674
58000,5077,1663
58100,5098,1657
58200,5144,1617
58300,5125,1646
58400,5181,1700
58500,5127,1642
58600,5177,1665
58700,5168,1680
58800,5203,1702
58900,5171,1705
59000,5216,1723
59100,5155,1701
59200,5184,1672
59300,5199,1699
59400,5194,1704
59500,5214,1714
59600,5280,1656
59700,5301,1690
59800,5229,1713
59900,5247,1666
60000,5272,1705
60100,5256,1685
60200,5291,1711
60300,5314,1705
60400,5257,1733
60500,5312,1716
60600,5343,1733
60700,5353,1728
60800,5326,1710
60900,5352,1690
61000,5353,1665
61100,5332,1682
61200,5336,1688
61300,5366,1692
61400,5380,1710
61500,5354,1735
61600,5361,1702
61700,5381,1737
61800,5408,1791
61900,5356,1774
62000,5396,1750
62100,5401,1731
62200,5402,1732
62300,5407,1736
62400,5427,1747
62500,5410,1774
62600,5432,1698
62700,5488,1735
62800,5664,1811
62900,5908,1748
63000,5954,1735
63100,5470,1730
63200,5516,1739
63300,5499,1717
63400,5446,1699
63500,5510,1725
63600,5461,1714
63700,5442,1708
63800,5494,1726
63900,5462,1688
64000,5478,1686
64100,5530,1711
64200,5515,1718
64300,5479,1705
64400,5446,1706
64500,5446,1722
64600,5526,1780
64700,5547,1720
64800,5517,1709
64900,5534,1712
65000,5564,1725
65100,5557,1717
65200,5564,1740
65300,5570,1734
65400,5603,1814
65500,5559,1766
65600,5647,1734
65700,5619,1787
65800,5681,1784
65900,5691,1782
66000,5712,1780
66100,5751,1810
66200,5709,1752
66300,5703,1823
66400,5754,1790
66500,5737,1781
66600,5717,1802
66700,5785,1786
66800,5761,1769
66900,5757,1778
67000,5779,1741
67100,5794,1811
67200,5831,1840
67300,5826,1792
67400,5771,1826
67500,5893,1772
67600,5851,1798
67700,5949,1813
67800,5921,1795
67900,5950,1809
68000,5992,1783
68100,5964,1786
68200,5988,1789
68300,5989,1794
68400,5996,1856
68500,6026,1791
68600,6047,1821
68700,6049,1807
68800,6062,1806
68900,6117,1820
69000,6050,1848
69100,6115,1818
69200,6108,1848
69300,6111,1800
69400,6157,1869
69500,6125,1852
69600,6165,1841
69700,7180,2033
69800,6168,1822
69900,6211,1849
70000,6192,1874
70100,6219,1806
70200,6262,1841
70300,6269,1831
70400,6198,1800
70500,6255,1787
70600,6314,1759
70700,6318,1839
70800,6277,1815
70900,6304,1872
71000,6318,1864
71100,6305,1817
71200,6326,1854
71300,6337,1794
71400,6406,1825
71500,6362,1860
71600,6359,1865
71700,6387,1830
71800,6397,1868
71900,6422,1843
72000,6426,1848
72100,6398,1892
72200,6446,1876
72300,6448,1875
72400,6451,1851
72500,6448,1902
72600,6511,1863
72700,6450,1895
72800,6460,1918
72900,6431,1884
73000,6444,1904
73100,6464,1956
73200,6461,1863
73300,6472,1839
73400,6484,1859
73500,6485,1904
73600,6471,1884
73700,6517,1945
73800,6570,1900
73900,6553,1897
74000,6569,1909
74100,6584,1898
74200,6560,1871
74300,6562,1889
74400,6592,1945
74500,6623,1936
74600,6598,1868
74700,6660,1898
74800,6668,1894
74900,6721,1888
75000,6796,1961
75100,6663,1924
75200,6658,1943
75300,6697,1938
75400,6706,1848
75500,6704,1899
75600,6775,1871
75700,6787,1947
75800,6759,1923
75900,6739,1843
76000,6746,1909
76100,6796,1909
76200,6829,1878
76300,6874,1962
76400,6800,1898
76500,6836,1880
76600,6841,1918
76700,6829,1845
76800,6889,1984
76900,6881,1913
77000,6901,1902
77100,6917,1939
77200,6896,1888
77300,6890,1953
77400,6941,1928
77500,6958,1984
77600,6940,1926
77700,6937,1897
77800,6947,1917
77900,7048,1971
78000,7096,1964
78100,7073,1993
78200,7089,1956
78300,7076,1989
78400,7068,2005
78500,7098,1937
78600,7076,1940
78700,7108,1984
78800,7092,1940
78900,7136,1958
79000,7111,1936
79100,7126,2030
79200,7141,2034
79300,7180,1976
79400,7127,2002
79500,7158,1962
79600,7126,1985
79700,7187,1964
79800,7183,1965
79900,7150,1941
80000,7159,2009
80100,7230,2027
80200,7265,2003
80300,7228,1970
80400,7237,1991
80500,7212,1987
80600,7213,2026
80700,7227,1998
80800,7289,1961
80900,7272,1983
81000,7287,1997
81100,7262,1984
81200,7285,2002
81300,7256,1985
81400,7295,2041
81500,7303,2042
81600,7227,2033
81700,7324,1972
81800,7270,2069
81900,7362,2068
82000,7321,2023
82100,7343,2054
82200,7350,2049
82300,7423,2073
82400,7426,2107
82500,7448,2104
82600,7387,2073
82700,7422,2127
82800,7459,2187
82900,7433,2110
83000,7467,2187
83100,7491,2154
83200,7430,2201
83300,7480,2188
83400,7474,2154
83500,7485,2185
83600,7497,2171
83700,7513,2151
83800,7539,2223
83900,7557,2184
84000,7511,2252
84100,7613,2244
84200,7633,2295
84300,7592,2287
84400,7622,2282
84500,7594,2333
84600,7655,2292
84700,7649,2320
84800,7613,2352
84900,7638,2375
85000,7653,2413
85100,7610,2410
85200,7663,2439
85300,7649,2474
85400,7696,2467
85500,7701,2467
85600,7763,2527
85700,7748,2479
85800,7760,2525
85900,7762,2548
86000,7786,2486
86100,7823,2564
86200,7776,2595
86300,7811,2608
86400,7782,2570
86500,7825,2600
86600,7847,2620
86700,7860,2674
86800,7872,2654
86900,7886,2646
87000,7857,2637
87100,7957,2671
87200,7918,2654
87300,7912,2732
87400,7904,2677
87500,7906,2710
87600,7961,2773
87700,7956,2672
87800,7951,2762
87900,7953,2798
88000,7967,2775
88100,7997,2781
88200,7987,2707
88300,8062,2752
88400,8062,2786
88500,8035,2742
88600,8096,2795
88700,8063,2840
88800,8078,2804
88900,8105,2836
89000,8035,2854
89100,8059,2845
89200,8084,2866
89300,8095,2876
89400,8095,2864
89500,8139,2921
89600,8149,2855
89700,8116,2841
89800,8144,2912
89900,8120,2922
90000,8189,2954
90100,8138,2920
90200,8183,2955
90300,8190,2967
90400,8211,2890
90500,8198,2918
90600,8209,3004
90700,8214,2966
90800,8194,3017
90900,8218,3024
91000,8256,2992
91100,8233,2962
91200,8202,2973
91300,8237,2932
91400,8309,2992
91500,8292,3021
91600,8257,3045
91700,8294,2975
91800,8322,3009
91900,8317,2940
92000,8332,2933
92100,8312,2972
92200,8296,2983
92300,8346,3005
92400,8352,3050
92500,8424,3042
92600,8348,2971
92700,8379,3016
92800,8386,2957
92900,8348,3054
93000,8383,3014
93100,8377,3046
93200,8396,2968
93300,8435,2993
93400,8382,3046
93500,8391,3013
93600,8428,2991
93700,8597,3037
93800,8474,3036
93900,8419,3020
94000,8445,2963
94100,8443,2980
94200,8480,2963
94300,8462,3000
94400,8483,2995
94500,8465,3015
94600,8497,3028
94700,8505,3028
94800,8513,3033
94900,8533,3092
95000,8546,3087
95100,8502,2980
95200,8543,3019
95300,8523,2956
95400,8520,2931
95500,8566,3029
95600,8528,3024
95700,8534,2991
95800,8572,3003
95900,8588,3033
96000,8603,2984
96100,8544,3011
96200,8576,3003
96300,8613,2985
96400,8568,3010
96500,8595,3045
96600,8574,3056
96700,8644,3063
96800,8631,3033
96900,8685,3053
97000,8646,3099
97100,8598,3072
97200,8626,3024
97300,8618,3046
97400,8676,3049
97500,8660,3058
97600,8658,3029
97700,8735,3029
97800,8724,3078
97900,8739,3045
98000,8659,3008
98100,8681,3032
98200,8648,3043
98300,8746,3086
98400,8733,3083
98500,8748,3061
98600,8830,3038
98700,8771,3063
98800,8786,3094
98900,8797,3079
99000,8820,3143
99100,8856,3042
99200,8810,3028
99300,8804,3132
99400,8806,3142
99500,8824,3074
99600,8842,3083
99700,8845,3114
99800,8895,3124
99900,8912,3156
100000,8929,3050
