Size,Merge,MergeInsertion
500,37,8
600,45,9
700,53,15
800,61,16
900,68,17
1000,73,17
1100,83,17
1200,92,18
1300,101,22
1400,112,32
1500,123,36
1600,131,38
1700,134,36
1800,142,36
1900,150,38
2000,151,36
2100,178,42
2200,179,37
2300,181,39
2400,193,40
2500,201,42
2600,206,47
2700,216,60
2800,257,76
2900,249,75
3000,260,109
3100,268,110
3200,286,79
3300,294,76
3400,299,79
3500,319,113
3600,326,84
3700,307,76
3800,308,79
3900,312,77
4000,325,78
4100,317,88
4200,327,80
4300,343,77
4400,372,86
4500,389,87
4600,393,90
4700,408,87
4800,425,95
4900,419,97
5000,421,89
5100,407,88
5200,413,99
5300,414,107
5400,612,134
5500,635,165
5600,455,150
5700,466,143
5800,456,144
5900,495,147
6000,485,142
6100,479,144
6200,489,144
6300,507,144
6400,513,149
6500,526,144
6600,526,149
6700,536,153
6800,535,148
6900,560,151
7000,688,171
7100,640,190
7200,651,168
7300,639,159
7400,765,172
7500,707,162
7600,796,267
7700,621,162
7800,626,165
7900,618,165
8000,628,158
8100,640,158
8200,635,157
8300,641,167
8400,656,165
8500,675,164
8600,675,159
8700,707,167
8800,720,163
8900,748,164
9000,733,166
9100,734,168
9200,741,169
9300,742,166
9400,771,179
9500,781,175
9600,825,178
9700,803,176
9800,803,174
9900,820,182
10000,829,195
10100,912,202
10200,833,181
10300,838,199
10400,840,210
10500,871,208
10600,862,223
10700,889,247
10800,878,260
10900,903,262
11000,906,286
11100,968,286
11200,932,297
11300,927,297
11400,934,301
11500,967,302
11600,944,303
11700,960,295
11800,954,295
11900,953,281
12000,985,294
12100,970,290
12200,975,289
12300,979,298
12400,1047,297
12500,1060,327
12600,1014,296
12700,1029,295
12800,1045,305
12900,1053,301
13000,1033,295
13100,1126,316
13200,1080,357
13300,1093,305
13400,1121,322
13500,1098,318
13600,1078,313
13700,1109,318
13800,1103,309
13900,1154,313
14000,1184,317
14100,1202,315
14200,1161,359
14300,1209,482
14400,1174,369
14500,1185,321
14600,1205,323
14700,1208,319
14800,1235,321
14900,1249,325
15000,1253,326
15100,1278,339
15200,1238,329
