Size,Merge,MergeInsertion
500,121,40
600,132,37
700,159,62
800,178,77
900,201,79
1000,181,67
1100,199,68
1200,190,60
1300,206,66
1400,223,88
1500,206,92
1600,219,98
1700,233,90
1800,217,89
1900,214,84
2000,217,84
2100,231,87
2200,240,84
2300,249,84
2400,246,81
2500,256,84
2600,259,87
2700,265,100
2800,266,110
2900,266,117
3000,272,128
3100,270,127
3200,277,126
3300,288,127
3400,286,127
3500,302,131
3600,296,136
3700,309,132
3800,335,137
3900,334,131
4000,332,134
4100,317,127
4200,330,127
4300,343,135
4400,350,135
4500,361,132
4600,372,141
4700,379,137
4800,391,138
4900,416,138
5000,429,142
5100,415,143
5200,429,151
5300,459,165
5400,447,178
5500,456,191
5600,460,202
5700,472,212
5800,479,245
5900,486,233
6000,488,232
6100,499,240
6200,506,243
6300,526,246
6400,519,252
6500,586,271
6600,591,277
6700,666,290
6800,1051,305
6900,616,263
7000,573,262
7100,608,267
7200,582,260
7300,594,264
7400,610,268
7500,657,273
7600,641,290
7700,671,299
7800,704,349
7900,729,305
8000,713,296
8100,658,274
8200,937,323
8300,1275,361
8400,685,267
8500,961,386
8600,708,312
8700,764,288
8800,912,441
8900,846,318
9000,955,440
9100,970,616
9200,847,326
9300,863,328
9400,952,471
9500,836,349
9600,871,309
9700,1024,327
9800,875,324
9900,857,302
10000,874,302
10100,905,309
10200,857,301
10300,885,314
10400,908,333
10500,876,329
10600,910,366
10700,940,359
10800,909,390
10900,1060,415
11000,921,400
11100,994,438
11200,969,446
11300,988,429
11400,953,431
11500,957,440
11600,966,451
11700,1047,458
11800,999,511
11900,1013,485
12000,1011,498
12100,1000,492
12200,1004,502
12300,1020,499
12400,1103,533
12500,1111,513
12600,1049,569
12700,1079,568
12800,1209,611
12900,1089,521
13000,1115,544
13100,1116,532
13200,1108,542
13300,1120,529
13400,1130,530
13500,1287,570
13600,1161,550
13700,1211,546
13800,1176,555
13900,1227,558
14000,1176,549
14100,1199,541
14200,1181,546
14300,1224,555
14400,1240,556
14500,1217,552
14600,1203,532
14700,1253,569
14800,1251,570
14900,1235,561
15000,1230,542
15100,1239,610
15200,1302,589
15300,1316,559
15400,1310,543
15500,1344,546
15600,1328,581
15700,1276,570
15800,1278,558
15900,1287,565
16000,1315,567
16100,1325,578
16200,1357,563
16300,1317,578
16400,1366,573
16500,1355,570
16600,1372,565
16700,1394,575
16800,1366,568
16900,1422,596
17000,1424,593
17100,1450,610
17200,1438,596
17300,1426,585
17400,1489,600
17500,1490,614
17600,1535,613
17700,1522,594
17800,1528,630
17900,1560,618
18000,1553,608
18100,1548,618
18200,1582,630
18300,1581,627
18400,1584,621
18500,1602,614
18600,1622,613
18700,1624,634
18800,1697,625
18900,1610,601
19000,1832,673
19100,1691,604
19200,1658,612
19300,1708,617
19400,1719,599
19500,1702,660
19600,1670,621
19700,1725,603
19800,1708,635
19900,1683,651
20000,1744,632
20100,1761,645
20200,1734,663
20300,1773,646
20400,1740,623
20500,1797,649
20600,1754,641
20700,1821,688
20800,1851,722
20900,1834,711
21000,1863,741
21100,1848,726
21200,1859,735
21300,1868,773
21400,1881,755
21500,1900,778
21600,2009,786
21700,1929,807
21800,1917,816
21900,1944,835
22000,1943,858
22100,1962,843
22200,1971,878
22300,1963,871
22400,2294,1059
22500,2015,918
22600,2025,958
22700,2015,917
22800,1998,923
22900,2012,939
23000,2024,952
23100,2036,972
23200,2021,966
23300,2066,1076
23400,2066,987
23500,2054,988
23600,2093,998
23700,2081,1010
23800,2078,1043
23900,2020,1027
24000,2085,1039
24100,2112,1058
24200,2101,1046
24300,2127,1056
24400,2119,1078
24500,2131,1079
24600,2118,1086
24700,2168,1134
24800,2159,1099
24900,2172,1101
25000,2181,1115
25100,2176,1082
25200,2199,1099
25300,2215,1103
25400,2151,1078
25500,2172,1081
25600,2240,1098
25700,2259,1121
25800,2259,1116
25900,2281,1130
26000,2271,1149
26100,2287,1132
26200,2284,1126
26300,2298,1120
26400,2291,1125
26500,2305,1151
26600,2322,1126
26700,2319,1147
26800,2373,1155
26900,2347,1139
27000,2350,1130
27100,2299,1115
27200,2369,1144
27300,2366,1138
27400,2396,1151
27500,2389,1153
27600,2404,1151
27700,2429,1158
27800,4799,4947
27900,2450,1155
28000,2461,1151
28100,2450,1157
28200,2455,1168
28300,2451,1156
28400,2457,1138
28500,2454,1157
28600,2486,1147
28700,2473,1156
28800,2499,1156
28900,2487,1155
29000,2487,1153
29100,2524,1157
29200,2518,1185
29300,2527,1192
29400,2551,1177
29500,2562,1158
29600,2652,1198
29700,2600,1199
29800,2604,1162
29900,2601,1199
30000,2600,1179
30100,2620,1202
30200,2619,1197
30300,2616,1196
30400,2629,1199
30500,2626,1212
30600,2642,1187
30700,2638,1175
30800,2652,1205
30900,2648,1186
31000,2646,1209
31100,2657,1210
31200,2610,1191
31300,2690,1206
31400,2662,1210
31500,2669,1215
31600,2676,1210
31700,2694,1210
31800,2679,1214
31900,2691,1187
32000,2698,1198
32100,2704,1219
32200,2687,1188
32300,2750,1221
32400,2747,1184
32500,2743,1224
32600,2750,1151
32700,2763,1209
32800,2781,1212
32900,2776,1212
33000,2794,1196
33100,2808,1213
33200,2834,1219
33300,2834,1209
33400,2875,1259
33500,2900,1237
33600,2869,1211
33700,2883,1197
33800,2835,1245
33900,2932,1246
34000,2979,1246
34100,2938,1247
34200,2965,1255
34300,2977,1278
34400,2897,1234
34500,2989,1246
34600,2990,1276
34700,3010,1250
34800,3008,1260
34900,3029,1269
35000,3069,1314
35100,3095,1288
35200,3066,1277
35300,3082,1276
35400,3096,1290
35500,3102,1267
35600,3119,1310
35700,3129,1285
35800,3153,1294
35900,3152,1282
36000,3136,1270
36100,3157,1285
36200,3201,1282
36300,3194,1260
36400,3208,1277
36500,3213,1288
36600,3214,1252
36700,3209,1256
36800,3206,1253
36900,3222,1263
37000,3228,1269
37100,3238,1280
37200,3281,1280
37300,3268,1303
37400,3266,1431
37500,3368,1308
37600,3325,1292
37700,3326,1297
37800,3348,1297
37900,3375,1327
38000,3359,1302
38100,3384,1279
38200,3388,1342
38300,3313,1282
38400,3423,1349
38500,3369,1302
38600,3410,1318
38700,3449,1327
38800,3451,1291
38900,3437,1325
39000,3469,1301
39100,3462,1315
39200,3486,1310
39300,3515,1325
39400,3556,1326
39500,3520,1317
39600,3526,1314
39700,3530,1340
39800,3521,1371
39900,3540,1340
40000,3546,1351
40100,3586,1342
40200,3577,1342
40300,3564,1327
40400,3599,1342
40500,3585,1335
40600,3593,1351
40700,3904,1377
40800,3604,1346
40900,3613,1340
41000,3608,1337
41100,3622,1347
41200,3626,1353
41300,3640,1401
41400,3668,1415
41500,3705,1465
41600,3727,1440
41700,3601,1454
41800,3754,1474
41900,3741,1475
42000,3754,1487
42100,3729,1512
42200,4052,1748
42300,4570,1624
42400,3802,1508
42500,3792,1549
42600,3808,1585
42700,5470,1569
42800,3856,1596
42900,3839,1593
43000,3853,1612
43100,3872,1646
43200,3874,1632
43300,3893,1657
43400,3920,1700
43500,3950,1674
43600,3825,1690
43700,3965,1677
43800,3918,1714
43900,3928,1730
44000,3923,1727
44100,3943,1757
44200,3948,1779
44300,3991,1782
44400,3967,1810
44500,3980,1776
44600,3981,1803
44700,4002,1829
44800,4021,1841
44900,3992,1827
45000,4004,1848
45100,4032,1871
45200,4019,1855
45300,4030,1868
45400,4076,1884
45500,4093,1909
45600,4077,1924
45700,4087,1927
45800,4059,1930
45900,4096,1911
46000,4089,1935
46100,4114,1948
46200,4132,1962
46300,4110,1984
46400,4133,1972
46500,4113,2003
46600,4119,2018
46700,4147,2016
46800,4200,2001
46900,4152,2028
47000,4194,2046
47100,4179,2035
47200,4177,2051
47300,4213,2080
47400,4245,2071
47500,4237,2086
47600,4205,2086
47700,4226,2106
47800,4245,2098
47900,4247,2098
48000,4239,2141
48100,4266,2105
48200,4234,2149
48300,4257,2133
48400,4259,2166
48500,4249,2174
48600,4267,2162
48700,4301,2190
48800,4298,2195
48900,4298,2194
49000,4306,2196
49100,4290,2202
49200,4321,2221
49300,4321,2217
49400,4349,2220
49500,4355,2258
49600,4363,2263
49700,4407,2250
49800,4424,2252
49900,4403,2273
50000,4418,2265
50100,4432,2274
50200,4448,2285
50300,4503,2281
50400,4464,2287
50500,4470,2315
50600,4485,2287
50700,4477,2281
50800,4515,2275
50900,4494,2290
51000,4512,2293
51100,4523,2304
51200,4504,2279
51300,4534,2290
51400,4553,2262
51500,4550,2287
51600,4567,2319
51700,4575,2303
51800,4602,2315
51900,4594,2240
52000,4611,2315
52100,4607,2335
52200,4603,2329
52300,4625,2352
52400,4675,2319
52500,4670,2316
52600,4671,2353
52700,4658,2320
52800,4641,2320
52900,4655,2292
53000,4682,2331
53100,4669,2304
53200,4670,2319
53300,4763,2326
53400,4757,2353
53500,4734,2355
53600,4718,2319
53700,4754,2336
53800,4728,2333
53900,4796,2361
54000,4755,2355
54100,4787,2342
54200,4793,2326
54300,4820,2358
54400,4815,2350
54500,4816,2360
54600,4874,2401
54700,4858,2365
54800,4862,2390
54900,4789,2360
55000,4880,2338
55100,4895,2366
55200,4901,2365
55300,4901,2365
55400,4904,2372
55500,4936,2377
55600,4922,2398
55700,4952,2378
55800,4923,2342
55900,4961,2412
56000,4956,2386
56100,4954,2401
56200,4960,2413
56300,4981,2379
56400,4935,2416
56500,4998,2366
56600,4965,2405
56700,4998,2392
56800,4929,2370
56900,4968,2355
57000,4921,2382
57100,5016,2352
57200,5024,2383
57300,4983,2361
57400,4979,2342
57500,5037,2359
57600,5148,2353
57700,5060,2366
57800,5066,2371
57900,5029,2374
58000,5066,2393
58100,5074,2369
58200,5110,2348
58300,5100,2405
58400,5147,2408
58500,5135,2420
58600,5147,2437
58700,5168,2450
58800,5190,2453
58900,5162,2408
59000,5155,2440
59100,5181,2392
59200,5208,2475
59300,5222,2435
59400,5218,2439
59500,5235,2427
59600,5282,2448
59700,5229,2457
59800,5204,2463
59900,5281,2451
60000,5245,2459
60100,5227,2429
60200,5239,2449
60300,5261,2464
60400,5237,2472
60500,5245,2453
60600,5539,2452
60700,5356,2477
60800,5299,2488
60900,5273,2489
61000,5335,2494
61100,5342,2411
61200,5308,2463
61300,5353,2466
61400,5378,2437
61500,5385,2443
61600,5380,2480
61700,5365,2476
61800,5409,2440
61900,5414,2466
62000,5402,2501
62100,5373,2399
62200,5411,2495
62300,5393,2458
62400,5409,2507
62500,5372,2494
62600,5383,2431
62700,5431,2476
62800,5391,2466
62900,5382,2457
63000,5470,2482
63100,5438,2495
63200,5460,2471
63300,5495,2483
63400,5454,2470
63500,5516,2508
63600,5464,2495
63700,5458,2479
63800,5481,2470
63900,5470,2479
64000,5479,2513
64100,5469,2479
64200,5457,2443
64300,5476,2446
64400,5515,2477
64500,5448,2452
64600,5524,2449
64700,5537,2437
64800,5542,2447
64900,5594,2463
65000,5498,2437
65100,5591,2454
65200,5666,2666
65300,5541,2432
65400,5619,2426
65500,5577,2435
65600,5576,2460
65700,5595,2426
65800,5601,2436
65900,5643,2453
66000,5633,2446
66100,5723,2463
66200,5716,2476
66300,5717,2479
66400,5731,2514
66500,5792,2521
66600,5748,2540
66700,5797,2533
66800,5802,2548
66900,5864,2554
67000,5833,2554
67100,5850,2528
67200,5862,2537
67300,5823,2528
67400,5866,2544
67500,5817,2479
67600,5869,2525
67700,5863,2580
67800,5907,2574
67900,5903,2528
68000,5929,2539
68100,5945,2538
68200,6022,2589
68300,5950,2565
68400,5975,2604
68500,6005,2573
68600,5984,2588
68700,6006,2570
68800,6063,2597
68900,6000,2589
69000,6039,2567
69100,6044,2581
69200,6068,2602
69300,6075,2569
69400,6106,2594
69500,6062,2608
69600,6139,2597
69700,6126,2633
69800,6165,2599
69900,6146,2646
70000,6207,2649
70100,6206,2668
70200,6244,2636
70300,6165,2622
70400,6260,2647
70500,6315,2636
70600,6217,2639
70700,6293,2611
70800,6273,2591
70900,6247,2630
71000,6237,2599
71100,6296,2602
71200,6375,2620
71300,6366,2644
71400,6341,2609
71500,6312,2679
71600,6342,2648
71700,6328,2611
71800,6339,2581
71900,6342,2588
72000,6417,2621
72100,6406,2645
72200,6404,2590
72300,6426,2583
72400,6380,2554
72500,6437,2593
72600,6422,2583
72700,6458,2575
72800,6438,2622
72900,6465,2610
73000,6484,2607
73100,6460,2635
73200,6557,2594
73300,6476,2617
73400,6474,2583
73500,6459,2578
73600,6485,2582
73700,6507,2616
73800,6504,2576
73900,6476,2556
74000,6509,2619
74100,6548,2612
74200,6596,2621
74300,6618,2648
74400,6638,2601
74500,6595,2610
74600,6720,2800
74700,7494,2666
74800,6659,2684
74900,6833,2678
75000,6776,2651
75100,6709,2696
75200,6695,2654
75300,6725,2707
75400,6722,2628
75500,6711,2671
75600,6750,2608
75700,6763,2647
75800,6769,2637
75900,6745,2655
76000,6739,2672
76100,6747,2653
76200,6724,2627
76300,6779,2634
76400,6798,2624
76500,6800,2677
76600,6808,2721
76700,6846,2651
76800,6835,2692
76900,6887,2725
77000,6910,2672
77100,6842,2644
77200,6897,2620
77300,6892,2706
77400,6964,2656
77500,6971,2664
77600,6949,2648
77700,6961,2671
77800,6963,2739
77900,7059,2759
78000,7080,2684
78100,6994,2665
78200,6971,2730
78300,7050,2711
78400,7087,2709
78500,7063,2692
78600,7067,2777
78700,7068,2710
78800,7219,2719
78900,7135,2688
79000,7040,2715
79100,7142,2662
79200,7108,2732
79300,7111,2738
79400,7125,2743
79500,7643,4058
79600,13988,3221
79700,7279,2808
79800,7236,2743
79900,7470,2860
80000,9755,2971
80100,7216,2739
80200,7292,2788
80300,7209,2756
80400,7214,2747
80500,7259,2818
80600,7205,2751
80700,7268,2756
80800,7241,2772
80900,7283,2814
81000,7344,2771
81100,7263,2754
81200,7352,2840
81300,7297,2772
81400,7283,2778
81500,7324,2754
81600,7253,2745
81700,7298,2717
81800,7287,2780
81900,7318,2731
82000,7262,2727
82100,7330,2765
82200,7308,2790
82300,7331,2811
82400,7344,2833
82500,7346,2873
82600,7435,2905
82700,7463,2844
82800,7462,2879
82900,7408,2892
83000,7376,2887
83100,7448,2937
83200,7448,2905
83300,7425,2978
83400,7454,2983
83500,7493,2980
83600,7537,2963
83700,7492,3003
83800,7466,2999
83900,7503,3094
84000,7578,3008
84100,7521,3025
84200,7558,3033
84300,7557,3023
84400,7588,3075
84500,7627,3120
84600,7650,3102
84700,7624,3182
84800,7667,3123
84900,7743,3182
85000,7668,3160
85100,7623,3203
85200,7658,3216
85300,7666,3242
85400,7731,3276
85500,7753,3261
85600,7715,3312
85700,7732,3255
85800,7754,3281
85900,7756,3312
86000,7726,3348
86100,7805,3313
86200,7803,3345
86300,7782,3373
86400,7846,3387
86500,7879,3387
86600,7874,3439
86700,7925,3397
86800,7914,3458
86900,7867,3461
87000,7893,3439
87100,7900,3485
87200,7922,3456
87300,7928,3477
87400,7904,3498
87500,7924,3519
87600,7910,3500
87700,8017,3613
87800,7916,3557
87900,7924,3570
88000,7963,3530
88100,7954,3623
88200,7949,3574
88300,7997,3602
88400,8000,3619
88500,8005,3604
88600,8003,3626
88700,8028,3643
88800,8016,3707
88900,8032,3663
89000,8000,3672
89100,8040,3684
89200,8045,3733
89300,8104,3683
89400,8088,3747
89500,8093,3721
89600,8113,3777
89700,8076,3799
89800,8091,3821
89900,8172,3762
90000,8088,3836
90100,8133,3750
90200,8146,3780
90300,8165,3793
90400,8134,3822
90500,8183,3852
90600,8155,3861
90700,8171,3873
90800,8232,3862
90900,8226,3899
91000,8213,3872
91100,8158,3907
91200,8275,3949
91300,8263,3925
91400,8239,3943
91500,8272,3980
91600,8237,3928
91700,8373,3929
91800,8297,3972
91900,8289,3976
92000,8309,3989
92100,8314,3961
92200,8284,4003
92300,8276,3982
92400,8265,3983
92500,8298,4052
92600,8319,4023
92700,8356,4018
92800,8299,4057
92900,8282,4070
93000,8312,4077
93100,8364,4116
93200,8347,4075
93300,8363,4103
93400,8335,4083
93500,8421,4129
93600,8375,4140
93700,8429,4149
93800,8429,4160
93900,8404,4157
94000,8437,4194
94100,8439,4145
94200,8456,4212
94300,8450,4243
94400,8466,4245
94500,8433,4210
94600,8502,4235
94700,8536,4233
94800,8528,4264
94900,8529,4251
95000,8489,4307
95100,8560,4288
95200,8496,4287
95300,8577,4268
95400,8508,4280
95500,8556,4449
95600,8559,4323
95700,8495,4370
95800,8574,4365
95900,8523,4301
96000,8525,4349
96100,8593,4355
96200,8556,4365
96300,8540,4293
96400,8587,4391
96500,8574,4364
96600,8603,4413
96700,8582,4385
96800,8606,4418
96900,8605,4428
97000,8625,4461
97100,8596,4397
97200,8636,4412
97300,8607,4458
97400,8685,4446
97500,8620,4460
97600,8690,4506
97700,8617,4466
97800,8678,4437
97900,8678,4463
98000,8614,4476
98100,8659,4459
98200,8683,4463
98300,8698,4441
98400,8725,4554
98500,9230,4552
98600,8688,4533
98700,8746,4526
98800,8799,4555
98900,8754,4597
99000,8818,4551
99100,8860,4578
99200,8852,4608
99300,8824,4570
99400,8904,4612
99500,8797,4566
99600,8869,4583
99700,8844,4594
99800,8846,4713
99900,8900,4609
100000,8920,4597
