Size,Merge,MergeInsertion
500,36,7
600,45,9
700,53,10
800,61,11
900,67,12
1000,73,15
1100,84,17
1200,99,19
1300,98,20
1400,116,22
1500,125,24
1600,132,26
1700,136,26
1800,142,27
1900,163,33
2000,152,34
2100,165,37
2200,174,38
2300,185,40
2400,192,40
2500,230,44
2600,213,47
2700,242,47
2800,254,51
2900,254,50
3000,267,53
3100,277,54
3200,290,55
3300,278,59
3400,305,58
3500,273,51
3600,298,61
3700,315,61
3800,324,64
3900,305,61
4000,310,70
4100,313,76
4200,328,80
4300,340,79
4400,356,80
4500,376,90
4600,529,91
4700,413,114
4800,404,85
4900,400,85
5000,435,103
5100,423,91
5200,414,91
5300,433,92
5400,476,98
5500,472,101
5600,472,95
5700,494,101
5800,475,98
5900,479,99
6000,477,100
6100,492,99
6200,488,99
6300,500,105
6400,554,105
6500,528,113
6600,540,108
6700,524,107
6800,552,109
6900,579,107
7000,561,112
7100,570,113
7200,654,122
7300,640,123
7400,805,129
7500,603,123
7600,703,129
7700,615,137
7800,618,127
7900,628,140
8000,648,149
8100,634,161
8200,671,159
8300,651,164
8400,673,164
8500,679,164
8600,697,164
8700,705,165
8800,694,158
8900,726,164
9000,732,168
9100,742,193
9200,749,170
9300,786,171
9400,772,176
9500,786,174
9600,791,182
9700,826,177
9800,877,182
9900,817,180
10000,863,192
10100,859,187
10200,929,202
10300,820,185
10400,874,193
10500,863,184
10600,855,189
10700,896,194
10800,882,194
10900,869,189
11000,928,191
11100,911,195
11200,908,202
11300,909,193
11400,935,204
11500,940,220
11600,923,197
11700,975,204
11800,966,204
11900,960,205
12000,946,218
12100,1006,205
12200,973,215
12300,1020,210
12400,986,209
12500,1072,218
12600,1028,217
12700,1025,218
12800,1027,214
12900,1033,213
13000,1118,222
13100,1081,224
13200,1092,235
13300,1086,222
13400,1072,224
13500,1127,242
13600,1105,263
13700,1126,234
13800,1132,236
13900,1121,228
14000,1145,238
14100,1153,227
14200,1200,233
14300,1163,286
14400,1184,244
14500,1174,243
14600,1261,278
14700,1183,242
14800,1207,249
14900,1189,246
15000,1236,247
15100,1244,245
15200,1286,258
15300,1311,274
15400,1302,294
15500,1260,311
15600,1257,338
15700,1279,281
15800,1262,291
15900,1285,303
16000,1259,316
16100,1311,318
16200,1308,333
16300,1304,331
16400,1302,337
16500,1312,344
16600,1333,385
16700,1344,391
16800,1392,367
16900,1419,358
17000,1419,355
17100,1365,357
17200,1391,353
17300,1404,349
17400,1424,342
17500,1480,356
17600,1471,361
17700,1487,353
17800,1488,360
17900,1486,366
18000,1470,360
18100,1499,366
18200,1498,365
18300,1504,368
18400,1530,370
18500,1541,373
18600,1538,355
18700,1562,386
18800,1551,386
18900,1587,404
19000,1592,363
19100,1569,391
19200,1607,393
19300,1631,382
19400,1642,388
19500,1645,380
19600,1643,386
19700,1663,385
19800,1669,384
19900,1669,383
20000,1663,389
20100,1688,393
20200,1687,384
20300,1676,389
20400,1682,388
20500,1687,380
20600,1678,388
20700,1687,389
20800,1698,412
20900,1724,395
21000,1766,412
21100,1738,408
21200,1738,406
21300,1757,414
21400,1789,426
21500,1781,404
21600,1793,404
21700,1806,400
21800,1814,403
21900,1825,427
22000,1838,418
22100,1839,410
22200,1874,425
22300,1857,417
22400,1878,421
22500,1893,427
22600,1895,421
22700,1900,437
22800,1903,425
22900,1890,431
23000,1899,434
23100,1911,422
23200,1924,426
23300,1907,424
23400,1970,440
23500,1955,438
23600,1971,435
23700,1981,433
23800,1972,433
23900,1995,444
24000,1979,454
24100,1988,435
24200,1987,438
24300,1969,443
24400,1991,443
24500,2005,459
24600,2005,458
24700,2015,464
24800,2010,460
24900,2032,459
25000,2031,456
25100,2085,478
25200,2063,467
25300,2061,463
25400,2037,458
25500,2090,469
25600,2096,466
25700,2126,462
25800,2135,474
25900,2124,472
26000,2133,475
26100,2139,468
26200,2152,475
26300,2155,466
26400,2165,482
26500,2176,485
26600,2190,483
26700,2194,494
26800,2204,492
26900,2211,507
27000,2210,496
27100,2263,488
27200,2268,495
27300,2269,499
27400,2280,494
27500,2288,495
27600,2293,493
27700,2291,498
27800,2296,515
27900,2302,496
28000,2314,508
28100,2340,505
28200,2367,506
28300,2342,524
28400,2349,517
28500,2367,519
28600,2350,524
28700,2372,512
28800,2413,540
28900,2402,521
29000,2421,514
29100,2420,517
29200,2430,526
29300,2431,517
29400,2458,560
29500,2482,553
29600,2465,555
29700,2569,573
29800,2511,562
29900,2511,561
30000,2512,547
30100,2543,552
30200,2508,530
30300,2558,572
30400,2556,560
30500,2588,571
30600,2514,608
30700,2548,609
30800,2660,649
30900,2589,642
31000,2597,597
31100,2584,622
31200,2578,608
31300,2584,599
31400,2601,632
31500,2658,639
31600,2587,659
31700,2571,618
31800,2581,682
31900,2693,683
32000,2646,702
32100,2666,676
32200,2657,671
32300,2657,669
32400,2643,769
32500,2680,732
32600,2615,705
32700,2648,731
32800,2666,712
32900,2673,805
33000,2734,737
33100,2733,736
33200,2739,758
33300,2709,741
33400,2733,743
33500,2730,828
33600,2789,748
33700,2797,758
33800,2748,757
33900,2775,735
34000,2862,760
34100,2838,743
34200,2809,755
34300,2876,752
34400,2884,736
34500,2915,765
34600,2901,747
34700,3413,933
34800,3322,1103
34900,3036,721
35000,2967,827
35100,3005,815
35200,3009,736
35300,2965,730
35400,2978,745
35500,3003,731
35600,2977,719
35700,2983,770
35800,3021,751
35900,2992,730
36000,3026,756
36100,3017,746
36200,3005,723
36300,3015,749
36400,3010,721
36500,3037,733
36600,3039,748
36700,3053,751
36800,3067,739
36900,3066,736
37000,3090,750
37100,3125,751
37200,3119,747
37300,3116,772
37400,3153,805
37500,3157,783
37600,3181,777
37700,3180,770
37800,3171,785
37900,3321,773
38000,3214,756
38100,3220,760
38200,3202,763
38300,3232,766
38400,3276,776
38500,3240,761
38600,3274,768
38700,3264,779
38800,3269,768
38900,3285,767
39000,3320,798
39100,3336,809
39200,3316,804
39300,3322,786
39400,3320,790
39500,3377,785
39600,3333,780
39700,3353,801
39800,3351,822
39900,3383,826
40000,3389,806
40100,3383,780
40200,3404,785
40300,3403,797
40400,3413,799
40500,3387,799
40600,3354,804
40700,3364,802
40800,3418,801
40900,3374,822
41000,3410,793
41100,3395,818
41200,3411,802
41300,3391,802
41400,3392,806
41500,3437,833
41600,3463,819
41700,3463,811
41800,3503,842
41900,3500,841
42000,3730,890
42100,3776,841
42200,3797,876
42300,3613,852
42400,3601,870
42500,3574,878
42600,3587,831
42700,3570,846
42800,3582,870
42900,3626,844
43000,3600,859
43100,3618,866
43200,3655,854
43300,3648,857
43400,3649,835
43500,3642,849
43600,3678,833
43700,3678,841
43800,3702,858
43900,3721,865
44000,3712,867
44100,3744,864
44200,3727,880
44300,3724,890
44400,3729,889
44500,3730,890
44600,3748,854
44700,3777,858
44800,4515,1051
44900,4386,899
45000,3812,896
45100,3861,909
45200,3837,910
45300,3814,886
45400,3826,896
45500,3816,898
45600,3843,906
45700,3808,880
45800,3837,889
45900,3860,902
46000,3887,910
46100,3910,929
46200,3874,902
46300,3863,884
46400,3865,888
46500,3840,883
46600,3871,896
46700,3883,908
46800,3870,875
46900,3975,964
47000,3899,932
47100,3911,901
47200,3915,897
47300,3906,885
47400,3944,899
47500,3917,891
47600,3954,899
47700,3946,918
47800,3961,907
47900,4009,915
48000,3991,920
48100,3995,929
48200,4011,899
48300,3985,920
48400,3997,933
48500,4008,923
48600,3975,903
48700,3987,929
48800,4018,946
48900,4003,947
49000,5084,1185
49100,4263,1057
49200,4040,954
49300,4033,924
49400,4051,956
49500,4053,938
49600,4056,961
49700,4095,989
49800,4099,961
49900,4111,954
50000,4099,971
50100,4107,978
50200,4101,967
50300,4121,961
50400,4172,984
50500,4176,974
50600,4152,964
50700,4179,958
50800,4210,953
50900,4238,979
51000,4234,962
51100,4220,970
51200,4230,958
51300,4266,955
51400,4285,970
51500,4294,966
51600,4296,950
51700,4317,971
51800,4373,974
51900,4332,947
52000,4307,974
52100,4344,971
52200,4364,987
52300,4351,957
52400,4341,966
52500,4343,960
52600,4367,962
52700,4398,1003
52800,4424,1018
52900,4413,994
53000,4418,998
53100,4425,996
53200,4430,1010
53300,4405,985
53400,4438,1025
53500,4493,1005
53600,4457,1014
53700,4453,982
53800,4464,1014
53900,4462,1005
54000,4478,1010
54100,4498,1019
54200,4474,1012
54300,4491,984
54400,4537,1004
54500,4525,1002
54600,4596,1051
54700,4624,1078
54800,4546,1054
54900,4552,1050
55000,4557,1040
55100,4568,1039
55200,4582,1089
55300,4610,1005
55400,4691,1059
55500,4627,1023
55600,4647,1029
55700,4652,1024
55800,4652,1031
55900,4652,1049
56000,4678,1040
56100,4719,1032
56200,4746,1050
56300,4714,1052
56400,4698,1083
56500,4699,1073
56600,4718,1056
56700,4712,1078
56800,4716,1053
56900,4761,1060
57000,4709,1101
57100,4750,1059
57200,4779,1068
57300,4788,1057
57400,4726,1060
57500,4798,1039
57600,4789,1501
57700,4817,1108
57800,4817,1063
57900,4874,1063
58000,4855,1080
58100,4858,1105
58200,4865,1069
58300,4858,1105
58400,4878,1115
58500,4873,1093
58600,4903,1097
58700,4877,1117
58800,4908,1110
58900,4915,1099
59000,4933,1103
59100,4914,1096
59200,4942,1104
59300,4967,1092
59400,4968,1094
59500,4989,1100
59600,4992,1113
59700,4963,1111
59800,4983,1095
59900,5013,1096
60000,5017,1105
60100,5022,1153
60200,5018,1162
60300,5035,1142
60400,5039,1118
60500,5022,1123
60600,5040,1135
60700,5068,1141
60800,5052,1144
60900,5093,1143
61000,5084,1197
61100,5101,1225
61200,5113,1237
61300,5157,1257
61400,5124,1232
61500,5117,1279
61600,5163,1268
61700,5152,1310
61800,5112,1307
61900,5171,1266
62000,5174,1243
62100,5162,1237
62200,5150,1220
62300,5176,1231
62400,5171,1260
62500,5170,1226
62600,5185,1228
62700,5185,1251
62800,5191,1245
62900,5220,1231
63000,5176,1283
63100,5213,1264
63200,5237,1318
63300,5220,1337
63400,5244,1328
63500,5232,1321
63600,5166,1337
63700,5243,1342
63800,5232,1363
63900,5244,1405
64000,5203,1406
64100,5242,1361
64200,5237,1405
64300,5260,1424
64400,5244,1422
64500,5214,1408
64600,5207,1403
64700,5311,1452
64800,5245,1463
64900,5288,1416
65000,5289,1442
65100,5298,1441
65200,5273,1433
65300,5264,1481
65400,5293,1484
65500,5293,1508
65600,5309,1463
65700,5273,1444
65800,5310,1488
65900,5321,1463
66000,5351,1485
66100,5322,1469
66200,5339,1486
66300,5372,1478
66400,5382,1492
66500,5371,1515
66600,5375,1499
66700,5383,1511
66800,5437,1480
66900,5452,1481
67000,5457,1549
67100,5482,1525
67200,5475,1513
67300,5493,1501
67400,5503,1511
67500,5508,1507
67600,5532,1523
67700,5572,1516
67800,5584,1487
67900,5591,1522
68000,5607,1481
68100,5661,1598
68200,5668,1542
68300,5649,1520
68400,5654,1561
68500,5658,1519
68600,5723,1537
68700,5673,1481
68800,5713,1475
68900,5728,1467
69000,5746,1482
69100,5757,1506
69200,5767,1476
69300,5769,1481
69400,5779,1479
69500,5792,1537
69600,5809,1510
69700,5835,1475
69800,5805,1474
69900,5838,1511
70000,5828,1522
70100,5853,1561
70200,5847,1545
70300,5856,1497
70400,5867,1502
70500,5915,1543
70600,5867,1565
70700,5932,1487
70800,5940,1518
70900,5928,1492
71000,5977,1502
71100,5929,1525
71200,5947,1502
71300,6000,1502
71400,6008,1568
71500,6060,1579
71600,6061,1550
71700,6080,1521
71800,6037,1505
71900,6051,1521
72000,6053,1561
72100,6054,1515
