N,Wide_Area,Narrow_Area,Wide_Error,Narrow_Error
63600,0.951424,0.942635,0.00731266,0.00199314
64100,0.943851,0.947324,0.00070527,0.00297118
64600,0.942415,0.94033,0.00222557,0.00443324
65100,0.922334,0.942708,0.0234868,0.00191511
65600,0.959024,0.944336,0.0153584,0.000191895
66100,0.960741,0.945206,0.017177,0.000729411
66600,0.92988,0.949184,0.015497,0.00494048
67100,0.930195,0.944532,0.0151631,1.6123e-05
67600,0.950928,0.944457,0.00678787,6.34191e-05
68100,0.957366,0.953561,0.0136039,0.009575
68600,0.944011,0.946337,0.000536028,0.0019272
69100,0.953501,0.943492,0.00951148,0.00108517
69600,0.957966,0.944931,0.0142384,0.000437969
70100,0.957235,0.948845,0.013465,0.00458246
70600,0.951007,0.948654,0.00687069,0.00438023
71100,0.934337,0.945016,0.0107783,0.000527928
71600,0.941391,0.943698,0.00331022,0.000867703
72100,0.924749,0.946905,0.0209293,0.00252844
72600,0.939673,0.945442,0.00512921,0.00097875
73100,0.943486,0.939723,0.00109167,0.00507582
73600,0.949361,0.943083,0.00512866,0.00151802
74100,0.938232,0.947474,0.00665435,0.00313035
74600,0.941848,0.945459,0.00282576,0.00099726
75100,0.933247,0.942889,0.0119318,0.0017242
75600,0.945079,0.948495,0.000594882,0.00421187
76100,0.951901,0.943249,0.00781712,0.00134267
76600,0.94226,0.942702,0.00238948,0.00192231
77100,0.916604,0.946721,0.0295523,0.00233325
77600,0.93538,0.947568,0.00967421,0.00322966
78100,0.954039,0.943122,0.0100812,0.00147735
78600,0.945125,0.938872,0.000643732,0.00597715
79100,0.941978,0.945599,0.00268847,0.00114528
79600,0.939114,0.941367,0.00572019,0.00333524
80100,0.932767,0.944991,0.0124407,0.000501262
80600,0.92698,0.941145,0.018567,0.00357076
81100,0.944282,0.947807,0.00024907,0.00348358
81600,0.937543,0.949046,0.00738414,0.00479529
82100,0.942491,0.945151,0.00214561,0.000670761
82600,0.952911,0.943043,0.00888642,0.00156129
83100,0.942263,0.943028,0.00238625,0.00157669
