stream_id,stream_size,percentage,exact,estimate
0,5000,10,498,500.35
0,5000,20,995,991.98
0,5000,30,1487,1492.78
0,5000,40,1977,1997.78
0,5000,50,2466,2488.57
0,5000,60,2948,2952.69
0,5000,70,3434,3438.99
0,5000,80,3917,3909.58
0,5000,90,4404,4350.67
0,5000,100,4888,4815.79
1,5000,10,497,485.69
1,5000,20,989,995.81
1,5000,30,1480,1507.20
1,5000,40,1969,2010.82
1,5000,50,2457,2479.40
1,5000,60,2942,2940.37
1,5000,70,3423,3429.74
1,5000,80,3909,3922.58
1,5000,90,4391,4397.21
1,5000,100,4880,4907.54
2,5000,10,499,501.48
2,5000,20,996,981.80
2,5000,30,1490,1497.10
2,5000,40,1976,2001.03
2,5000,50,2468,2479.40
2,5000,60,2955,2956.81
2,5000,70,3444,3497.29
2,5000,80,3928,3982.96
2,5000,90,4413,4485.94
2,5000,100,4893,4917.50
3,20000,10,1977,1962.10
3,20000,20,3925,3975.03
3,20000,30,5846,5767.22
3,20000,40,7777,7806.76
3,20000,50,9692,9792.88
3,20000,60,11610,11460.63
3,20000,70,13536,13051.17
3,20000,80,15462,14899.17
3,20000,90,17386,17184.43
3,20000,100,19329,19176.52
4,20000,10,1978,1968.56
4,20000,20,3919,3886.27
4,20000,30,5843,5754.98
4,20000,40,7775,7667.90
4,20000,50,9700,9477.65
4,20000,60,11636,11235.65
4,20000,70,13562,13008.46
4,20000,80,15495,14815.57
4,20000,90,17413,17170.84
4,20000,100,19344,19131.34
5,20000,10,1963,1957.26
5,20000,20,3906,3834.94
5,20000,30,5846,5829.00
5,20000,40,7773,7577.88
5,20000,50,9691,9417.41
5,20000,60,11623,11216.49
5,20000,70,13536,12894.47
5,20000,80,15459,14900.68
5,20000,90,17389,17176.98
5,20000,100,19319,18912.21
6,50000,10,4886,4967.63
6,50000,20,9686,9971.48
6,50000,30,14479,14095.90
6,50000,40,19299,19191.31
6,50000,50,24100,24682.07
6,50000,60,28891,29351.64
6,50000,70,33679,34228.97
6,50000,80,38463,38784.94
6,50000,90,43248,43163.27
6,50000,100,48009,47811.27
7,50000,10,4892,4877.83
7,50000,20,9719,9858.95
7,50000,30,14527,13889.72
7,50000,40,19330,19301.97
7,50000,50,24130,24191.71
7,50000,60,28917,29231.19
7,50000,70,33713,34170.49
7,50000,80,38512,38790.25
7,50000,90,43284,43679.94
7,50000,100,48048,48583.70
8,50000,10,4902,4971.00
8,50000,20,9724,9738.63
8,50000,30,14545,13905.31
8,50000,40,19331,18783.63
8,50000,50,24156,23569.76
8,50000,60,28957,28501.77
8,50000,70,33726,33511.18
8,50000,80,38525,38819.97
8,50000,90,43291,42997.75
8,50000,100,48074,48336.80
9,100000,10,9690,9338.45
9,100000,20,19337,18768.11
9,100000,30,28972,29395.35
9,100000,40,38541,39767.17
9,100000,50,48069,49448.42
9,100000,60,57643,59585.72
9,100000,70,67152,68612.68
9,100000,80,76662,78274.12
9,100000,90,86163,86856.35
9,100000,100,95607,96370.49
10,100000,10,9721,9685.09
10,100000,20,19351,19386.31
10,100000,30,28947,28979.10
10,100000,40,38508,38824.93
10,100000,50,48090,47919.09
10,100000,60,57605,57549.50
10,100000,70,67153,67153.37
10,100000,80,76658,75944.01
10,100000,90,86167,85336.60
10,100000,100,95620,94896.59
11,100000,10,9701,9792.88
11,100000,20,19348,19148.97
11,100000,30,28954,28314.90
11,100000,40,38545,38139.17
11,100000,50,48109,48272.01
11,100000,60,57645,57724.94
11,100000,70,67135,66615.68
11,100000,80,76643,76709.26
11,100000,90,86142,86233.57
11,100000,100,95625,95196.26
