Algorithm,Size,Time(mcs),Comparisons
StandardQuickSort,2700,20776,502694
StandardMergeSort,2700,8071,46065
StringQuickSort,2700,3866,184692
StringMergeSort,2700,12443,31082
MSDRadixSort,2700,1703,0
MSDRadixSort_QuickSort,2700,1586,32974
StandardQuickSort,2800,21777,527408
StandardMergeSort,2800,8332,46314
StringQuickSort,2800,4258,204594
StringMergeSort,2800,12715,31543
MSDRadixSort,2800,1646,0
MSDRadixSort_QuickSort,2800,1579,34094
StandardQuickSort,2900,22879,554535
StandardMergeSort,2900,8604,46009
StringQuickSort,2900,4480,216446
StringMergeSort,2900,13047,31726
MSDRadixSort,2900,1730,0
MSDRadixSort_QuickSort,2900,1648,35342
StandardQuickSort,3000,24070,583709
StandardMergeSort,3000,8933,47447
StringQuickSort,3000,4726,229121
StringMergeSort,3000,13426,32735
MSDRadixSort,3000,1759,0
MSDRadixSort_QuickSort,3000,1694,36675
