Algorithm,Size,Time(mcs),Comparisons
StandardQuickSort,2700,4796,104813
StandardMergeSort,2700,9525,64422
StringQuickSort,2700,1599,45866
StringMergeSort,2700,13556,39225
MSDRadixSort,2700,1926,0
MSDRadixSort_QuickSort,2700,1525,19038
StandardQuickSort,2800,5221,114049
StandardMergeSort,2800,9829,67399
StringQuickSort,2800,1764,50230
StringMergeSort,2800,14149,41021
MSDRadixSort,2800,1997,0
MSDRadixSort_QuickSort,2800,1575,19667
StandardQuickSort,2900,5675,124391
StandardMergeSort,2900,10210,70363
StringQuickSort,2900,1834,54240
StringMergeSort,2900,14591,42769
MSDRadixSort,2900,2113,0
MSDRadixSort_QuickSort,2900,1638,20520
StandardQuickSort,3000,5832,128368
StandardMergeSort,3000,10545,73328
StringQuickSort,3000,1828,52125
StringMergeSort,3000,15060,44544
MSDRadixSort,3000,2239,0
MSDRadixSort_QuickSort,3000,1731,21546
