index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
,apple,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ macOS),109990.0,43.0,apple,m2,8.0,8.0,8.0,SSD,256.0,No secondary storage,0.0,apple,apple,False,13.3,2560.0,1600.0,mac,1
142.0,asus,Asus Vivobook S15 OLED K3502ZA-L701WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),72990.0,70.0,intel,core i7,,20.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,,1
143.0,hp,HP 15s-eq2144au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),40499.0,60.0,amd,ryzen 5,6.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,,15.6,1920.0,1080.0,windows,1
144.0,hp,HP Spectre x360 16-aa0665TU Laptop (Intel Core Ultra 7/ 32GB/ 2TB SSD/ Win11 Home),202340.0,82.0,intel,core ultra 7,16.0,22.0,32.0,SSD,2048.0,,0.0,intel,dedicated,True,16.0,2880.0,1800.0,windows,1
145.0,lenovo,Lenovo V15 G4 82YU00W9IN Laptop (Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),35990.0,60.0,amd,ryzen 5,4.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
,lenovo,Lenovo IdeaPad Slim 3 82H803HQIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),44990.0,64.0,intel,core i5,4.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
150.0,dell,,148490.0,78.0,intel,core i9,,32.0,16.0,SSD,1024.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,
151.0,hp,HP Spectre x360 14-eu0666TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),165900.0,76.0,intel,core ultra 7,16.0,22.0,32.0,SSD,1024.0,No secondary storage,0.0,intel,dedicated,True,14.0,2880.0,1800.0,windows,1
152.0,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 36GB/ 512GB SSD/ macOS),289900.0,63.0,apple,m3,12.0,12.0,36.0,SSD,512.0,No secondary storage,0.0,apple,apple,False,16.2,3456.0,2234.0,mac,1
153.0,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),349900.0,64.0,apple,m3,14.0,14.0,36.0,,1024.0,No secondary storage,0.0,apple,apple,False,,3456.0,2234.0,,1
154.0,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),249900.0,58.0,apple,m3,12.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,apple,,False,16.2,3456.0,2234.0,mac,1
155.0,apple,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),199900.0,56.0,apple,,11.0,11.0,8.0,SSD,512.0,No secondary storage,0.0,apple,apple,False,14.2,3024.0,1964.0,mac,1
156.0,lenovo,Lenovo Legion Pro 5 16IRX8 82WK00MWIN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),152990.0,77.0,intel,core i7,,24.0,16.0,SSD,1024.0,No secondary storage,0.0,nvidia,dedicated,False,16.0,2560.0,1600.0,windows,1
157.0,dell,Dell Inspiron 3520 IN3520P9K46002ORS1 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37990.0,59.0,intel,core i3,6.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
